,0
agent,27
guichet,15
public,13
droit,13
usager,12
travail,11
social,9
relation,9
administration,9
population,9
tension,8
état,8
pouvoir,6
davantage,6
moyen,6
réception,5
accueil,5
condition,5
situation,5
emploi,5
politique,5
temps,5
classe,4
service,4
loi,4
secteur,4
discrétionnaire,4
grand,4
fraude,4
traduire,4
travailler,4
beaucoup,4
application,4
populaire,4
nombre,3
devenir,3
poste,3
bureaucratique,3
conflictuel,3
mettre,3
instruction,3
conflit,3
gouverné,3
fragile,3
contre,3
faux,3
faire,3
effort,3
dématérialisation,3
démarche,3
dossier,3
pourcent,3
ouvrier,3
année,3
sentiment,3
action,3
rendre,3
appliquer,3
échange,3
précarisation,3
accentuer,3
fonction,2
familial,2
tâche,2
favoriser,2
trouver,2
prendre,2
traitement,2
face,2
fréquence,2
texte,2
territorial,2
territoire,2
généreux,2
vacant,2
valorisation,2
entraîner,2
valoir,2
dévolu,2
déséquilibrer,2
déshumaniser,2
déplacer,2
vie,2
voir,2
délai,2
décision,2
étranger,2
évolution,2
distance,2
disposer,2
tendre,2
ici,2
humain,2
subalterne,2
procédure,2
professionnel,2
profit,2
précaire,2
placer,2
paupérisation,2
organisation,2
opposer,2
obstacle,2
objectif,2
reconnaître,2
non,2
refus,2
mission,2
rétrécissement,2
matériel,2
mal,2
lutte,2
souffrance,2
langage,2
laisser,2
issu,2
interpréter,2
insuffisance,2
source,2
insatisfait,2
important,2
immigration,2
prestation,2
internet,2
être,2
accroître,2
dare,2
chômeur,2
charger,2
amplifier,2
continuer,2
contexte,2
catégorie,2
2017,2
compréhension,2
cumuler,2
bénéficier,2
consister,2
agir,2
contester,2
besoin,2
bien,2
autorité,2
autant,2
aise,2
recherche,1
regroupement,1
refuser,1
allouer,1
redéploiement,1
réforme,1
réfugié,1
revanche,1
recevoir,1
remplir,1
rationalisation,1
rarement,1
rare,1
rapport,1
quartier,1
quantifier,1
régler,1
allocation,1
requérant,1
ajouter,1
rester,1
retrouver,1
retraite,1
rhétorique,1
retourner,1
restrictif,1
restreindre,1
respectueux,1
représentation,1
période,1
roché,1
rsa,1
récent,1
respect,1
revalorisation,1
qualifier,1
difficulté,1
puissance,1
poche,1
atténu,1
possibilité,1
position,1
positif,1
augmentation,1
augmenter,1
aun,1
policier,1
point,1
plan,1
ancrage,1
placé,1
physique,1
perturber,1
permettre,1
permettent,1
permanence,1
performance,1
perdre,1
pdf,1
potentiellement,1
attractif,1
poursuite,1
attendre,1
prévaloir,1
prégnant,1
réorganisation,1
préfecture,1
précarité,1
apparemment,1
appréciation,1
protecteur,1
propager,1
arranger,1
article,1
productif,1
aspect,1
problématique,1
priver,1
prise,1
preuve,1
assistanat,1
astreindre,1
régulièrement,1
salaire,1
répartir,1
tricheur,1
valoriser,1
2012,1
2013,1
utiliser,1
2018,1
téléchargez,1
40,1
56,1
trop,1
63,1
accomplir,1
abus,1
traquer,1
transgression,1
transformation,1
abuser,1
accaparer,1
traduction,1
touriste,1
thématique,1
victime,1
2010,1
violence,1
vital,1
évoquer,1
1970,1
éviter,1
éventuel,1
1980,1
1990,1
équipe,1
émerger,1
éloignée,1
égard,1
