,0
impact,39
social,34
financement,32
ess,26
investing,20
entreprise,15
développement,14
public,13
secteur,12
investissement,12
structure,11
investisseur,10
financier,10
priver,10
projet,9
pays,9
acteur,8
capital,8
rentabilité,7
soutenir,7
difficulté,7
solidaire,6
risque,6
outil,6
accès,6
récent,5
nombre,5
fonds,5
période,4
es,4
représenter,4
juridique,4
évaluation,4
besoin,4
statut,4
europe,4
type,4
pouvoir,4
tradition,4
france,4
économie,4
résultat,4
loi,4
luxembourg,3
petit,3
royaume,3
bénéficier,3
côté,3
réponse,3
taille,3
devoir,3
avenir,3
uni,3
aujourd,3
long,3
français,3
création,3
ailleurs,3
exister,3
offrir,3
reconnaître,3
accompagner,3
nouveau,3
contraindre,3
ensemble,3
hui,3
propre,3
investir,3
agir,3
sociale,3
source,3
perspective,3
frein,3
partager,3
variété,3
particulier,3
mettre,3
année,3
mesure,3
euro,3
permettre,3
destiner,2
existence,2
interventionniste,2
demande,2
2010,2
intermédiation,2
international,2
croissance,2
produit,2
défaut,2
possibilité,2
potentiel,2
recherche,2
relever,2
encadrer,2
rencontre,2
principe,2
en,2
principal,2
eis,2
effort,2
développer,2
non,2
déterminer,2
preuve,2
responsable,2
dépit,2
initiative,2
définition,2
hong,2
innovation,2
défi,2
inscrire,2
instar,2
doute,2
règle,2
diversification,2
institutionnel,2
dimension,2
intérêt,2
500,2
général,2
bien,2
trust,2
bancaire,2
unis,2
ocde,2
financer,2
attractif,2
matière,2
article,2
venir,2
venture,2
mds,2
fiscal,2
volonté,2
mieux,2
amorçage,2
garantie,2
économique,2
égard,2
aide,2
élevé,2
gamme,2
modèle,2
monde,2
adapter,2
forme,2
activité,2
option,2
opportunité,2
moyen,2
place,2
fin,2
largement,2
philanthropie,2
soutien,2
offre,2
le,2
stratégie,2
méthode,2
privé,2
levier,2
libéral,2
limité,2
traditionnel,2
faire,2
chercher,2
soumettre,2
falloir,2
lorsqu,2
issu,2
capacité,2
perception,2
cadre,2
terme,2
lucrativité,2
total,2
toutefois,2
kong,2
programme,1
progrès,1
progressivement,1
promouvoir,1
prochain,1
problème,1
proposer,1
13,1
privilégier,1
pension,1
obstacle,1
obtenir,1
opérer,1
original,1
osciller,1
ouverture,1
ouvrent,1
parbpifrance,1
part,1
partage,1
passer,1
patient,1
pays2,1
paysage,1
percevoir,1
prise,1
performance,1
peser,1
phase,1
phénomène,1
plafonnement,1
plan,1
point,1
porteur,1
position,1
potentiellement,1
poursuivre,1
pratique,1
prestataire,1
primauté,1
pionnier,1
renouveler,1
prospective,1
taux,1
veiller,1
vecteur,1
variésla,1
utiliser,1
usage,1
témoigner,1
travers,1
traditionnellement,1
toutefoi,1
territoire,1
tenir,1
tangible,1
vie,1
sûr,1
sélection,1
susciter,1
surmonter,1
suivi,1
suisse,1
succès,1
subvention,1
structuration,1
strasbourg,1
stabiliser,1
victime,1
viser,1
préconiser,1
équilibre,1
évoquer,1
éviter,1
éventail,1
étudiés5,1
étudier,1
étude,1
étranger,1
états,1
état,1
étape,1
équitablede,1
épargne,1
vivre,1
énoncer,1
émergent,1
élément,1
éligible,1
écosystème,1
écho,1
échelonner,1
échelle,1
vue,1
vote,1
volontarisme,1
spécificité,1
soutenable,1
souligner,1
reconnaissanceen,1
retour,1
retenir,1
rester,1
objectif,1
renforcement,1
rendre,1
rendement,1
remettre,1
rembourser,1
regard,1
recourir,1
rassembler,1
soulignel,1
rapport,1
rapide4,1
raison,1
pérenne,1
puissance,1
publique,1
publier,1
prêt,1
présentésdan,1
présente,1
préoccupation,1
revanche,1
riche,1
richesse,1
rigoureux,1
soulever,1
souhaiter,1
souhait,1
solliciter,1
société,1
society,1
socialesle,1
social3,1
significatif,1
si,1
service,1
sens,1
second,1
saxon,1
satisfaisant,1
salarial,1
rôle,1
révéler,1
répondre,1
répliquer,1
rémunérer,1
réel,1
réduction,1
obligatoire,1
kpmg,1
négligée7,1
combiner,1
conclusion,1
concept,1
compte,1
comprendre,1
complément,1
complet,1
comparatif,1
comparaison,1
communément,1
commun,1
commissariat,1
coexister,1
conduire,1
cler,1
classique,1
clair,1
citoyen,1
chronique,1
chargé,1
changer,1
caractéristique,1
capitalisation,1
capital6,1
camille,1
condition,1
conjuguer,1
business,1
coût,1
différencie,1
dette,1
delà,1
davantage,1
dan,1
cœur,1
créer,1
crédit,1
crédible,1
croître,1
croissant,1
cours,1
connaître,1
contribution,1
contrat,1
contraire,1
contour,1
continental,1
contexte,1
constitution,1
constituer,1
consister,1
conserver,1
consensus,1
but,1
bulle,1
dispositif,1
accrue,1
amener,1
allemagne,1
alimenter,1
ajoute,1
aiser,1
affirmer,1
affirmation,1
afficher,1
affectation,1
affaire,1
actuellement,1
accompagnemer,1
analyse,1
accent,1
absence,1
75,1
31,1
238,1
2014,1
20138,1
2013,1
2009,1
2008,1
1775,1
amélioration,1
ancien,1
bsc,1
au,1
bpifrance,1
bonds,1
bon,1
big,1
benoît,1
baser,1
banque,1
balbutiement,1
autour,1
augmentation,1
aucun,1
attractiviter,1
angel,1
attendre,1
associer,1
asbl,1
appuyer,1
apprécier,1
approprié,1
appliquer,1
appeler,1
apparition,1
apparaître,1
anglo,1
direct,1
distinctif,1
nécessaire,1
intervenir,1
lieu,1
lent,1
la,1
17,1
juridiquement,1
janvier,1
investmentscheme,1
investisseurs,1
investingun,1
