,0
soin,3
repose,2
économique,2
public,2
perspective,2
thèse,2
santé,2
15,1
pédagogique,1
pédagogie,1
purement,1
prétention,1
présente,1
présent,1
préoccupant,1
programme,1
pratique,1
prestataire,1
reconnaître,1
pouvoir,1
pluriel,1
philosophique,1
pei,1
parallèlement,1
ouvrir,1
orienter,1
octobre,1
nombre,1
questionnement,1
reuven,1
relation,1
soutenir,1
éducation,1
vie,1
usager,1
type,1
travail,1
transformation,1
titre,1
système,1
support,1
soulever,1
méthodologique,1
souci,1
société,1
secteur,1
scientifique,1
science,1
rétablir,1
répondre,1
réalité,1
rigoureux,1
noblesse,1
méthode,1
2002,1
expérience,1
enrichissement,1
engendrer,1
education,1
dynamique,1
douloureux,1
disciplinaire,1
devoir,1
cumul,1
culture,1
créer,1
conception,1
concept,1
complexité,1
besoin,1
base,1
autonomisation,1
articulation,1
application,1
amputation,1
aggraver,1
adaptatif,1
actuellement,1
accès,1
entité,1
feuerstein,1
médical,1
fonction,1
médiation,1
modèle,1
marché,1
logique,1
limité,1
lier,1
jeu,1
inégalité,1
intérêt,1
interdépendant,1
inter,1
instrumental,1
instruire,1
instant,1
innocenc,1
individu,1
imposer,1
immature,1
hors,1
handicap,1
globalisant,1
fragiliser,1
fonctionnel,1
étalon,1
