,0
lyon,134
travail,110
lyonnais,96
ville,87
espace,60
faire,60
mème,59
vie,57
voir,50
bien,44
compte,44
culture,42
sein,42
skateur,41
pratique,39
place,38
grand,38
entrepôt,38
collectif,37
nouveau,36
mettre,36
skate,36
social,35
entreprise,35
communauté,33
lieu,33
mèmeur,32
temps,31
skateboard,31
forme,30
memesdelyon,30
être,30
coliving,30
partager,30
urbain,30
travailler,30
activité,29
créer,29
vouloir,29
agir,28
monde,27
lien,27
logistique,27
identité,26
métier,26
exemple,26
groupe,26
etc,26
rire,25
pouvoir,25
public,25
vivre,24
savoir,24
spot,24
besoin,23
vraiment,22
image,22
proposer,21
manière,21
trouver,21
maison,21
tâche,21
partie,21
commande,21
fois,20
sens,20
territoire,20
professionnel,20
chose,20
arriver,20
permettre,19
petit,19
mode,19
connaître,19
type,18
année,18
représenter,18
hui,18
coworking,18
aujourd,18
non,18
part,17
cas,17
important,17
trop,17
jeune,17
travailleur,17
venir,16
autant,16
passer,16
client,16
commun,16
lier,16
réseau,16
distance,16
appartenance,16
vidéo,16
habitant,16
livraison,16
rencontrer,16
casa,16
ailleurs,15
mise,15
ouvrier,15
abonné,15
comprendre,15
commerce,15
falloir,15
dark,15
outil,15
prendre,15
fonction,14
construction,14
pourcent,14
personne,14
évolution,14
côté,14
lieux,14
référence,14
secteur,14
colocataire,14
indépendant,14
préparateur,14
mèmes,14
aller,14
sentir,14
expression,13
local,13
emploi,13
centre,13
travers,13
commentaire,13
sentiment,13
colocation,13
publication,13
habitat,13
heure,13
point,13
parcours,13
réaliser,13
beaucoup,13
quotidien,13
expérience,13
numérique,13
fort,13
ce,13
humour,13
quartier,12
rassembler,12
tendance,12
expliquer,12
instagram,12
observer,12
ensembl,12
truc,12
mois,12
moment,12
sociologue,11
participer,11
marque,11
employé,11
personnage,11
revenir,11
bosser,11
chambre,11
exister,11
daclin,11
jour,11
france,11
homme,11
mobilier,11
store,11
organiser,11
bon,11
dire,10
emblème,10
caractéristique,10
étudier,10
choix,10
étudiant,10
partir,10
métropole,10
dynamique,10
penser,10
échelle,10
jérémie,10
contemporain,10
contre,10
connaissance,10
intégrer,10
condition,10
internet,10
tension,10
institution,10
culturel,10
adapter,10
télétravail,10
donner,10
aimer,10
délai,10
coursier,9
devenir,9
skat,9
interroger,9
retrouver,9
intérêt,9
représentation,9
individu,9
figure,9
répondre,9
acteur,9
construire,9
article,9
possibilité,9
raison,9
développer,9
début,9
service,9
relation,9
entretenir,9
compétence,9
commencer,9
disposer,9
français,9
particulièrement,9
rapport,9
logement,9
effectuer,9
paris,9
ligne,9
apparaître,9
david,9
rôle,9
attention,8
caroline,8
développement,8
pratiquant,8
perspective,8
propre,8
présence,8
question,8
rap,8
plan,8
base,8
plateforme,8
aucun,8
discuter,8
organisation,8
simple,8
usage,8
situer,8
an,8
transformer,8
ici,8
il,8
impliquer,8
légitime,8
jamais,8
jeu,8
chabault,8
là,8
continuer,8
soirée,8
sujet,8
consommation,8
écran,8
story,8
voyage,8
scène,8
