,0
personne,168
abri,89
sans,78
public,67
social,61
espace,55
rue,43
ville,37
situation,37
question,34
vivre,33
être,31
pouvoir,28
acteur,27
métropole,27
médiathèque,25
bibliothèque,25
service,24
recherche,24
vous,24
ccas,23
lyon,23
accueil,23
sein,22
falloir,22
travail,21
hébergement,21
mettre,20
mission,20
travailler,20
concerner,19
territoire,19
urgence,19
abrisme,19
besoin,18
relation,18
faire,18
urbain,18
vie,17
centre,17
important,16
agir,15
aménagement,15
prendre,15
vénissieux,15
auprès,15
usage,15
accès,15
droit,14
politique,14
lieu,14
association,14
logement,14
bien,14
année,14
installation,14
précarité,13
domiciliation,13
famille,13
squat,13
place,13
étude,13
groupe,12
aide,12
samu,12
femme,12
enfant,12
bidonville,12
ce,11
problème,11
permettre,11
présence,11
avoir,11
compte,11
exister,11
an,11
action,11
jour,11
local,11
voir,10
cas,10
demande,10
dispositif,10
terme,10
professionnel,10
mieux,10
ensemble,10
commune,10
répondre,10
rencontrer,10
installer,10
rapport,10
enquête,10
il,9
réaliser,9
nouveau,9
quartier,9
rencontre,9
venir,9
réponse,9
jusqu,9
considérer,9
partir,9
santé,8
citoyen,8
particulier,8
savoir,8
connaître,8
chose,8
mener,8
devenir,8
mobiliser,8
arriver,8
observer,8
ressource,8
côté,8
parcours,8
règlement,8
équipe,8
france,8
exemple,8
accompagner,8
vision,8
trouver,8
survie,8
grand,8
collectif,7
point,7
type,7
jeune,7
invisibilité,7
historique,7
sociologue,7
non,7
activité,7
solution,7
handicap,7
confluence,7
repérer,7
dernier,7
évoquer,7
direction,7
chercheur,7
nombre,7
temps,7
niveau,7
site,7
évolution,7
beaucoup,7
développer,7
organiser,7
constater,6
hui,6
héberger,6
vou,6
maison,6
citoyenneté,6
pôle,6
fort,6
forme,6
aujourd,6
connaissance,6
réflexion,6
cadre,6
condition,6
oullins,6
autour,6
réalité,6
indiquer,6
terrain,6
créer,6
choix,6
domicile,6
apparaître,6
pass,6
présent,6
soin,6
société,6
lier,6
rom,6
aider,6
mendicité,6
accueillir,6
comprendre,6
aller,6
penser,6
charger,6
logique,6
utiliser,6
manière,6
intervenir,6
interroger,6
coordination,6
sur,6
le,6
permanence,5
perspective,5
expliquer,5
participation,5
conception,5
bon,5
rendre,5
rien,5
sujet,5
orienter,5
définir,5
lien,5
toutefois,5
préciser,5
pratique,5
intérieur,5
intervention,5
dédier,5
chantier,5
occuper,5
visibilité,5
eau,5
enjeu,5
problématique,5
entretien,5
fonctionner,5
établissement,5
lieux,5
disposition,5
temporaire,5
lyonnais,5
réseau,5
population,5
sdf,5
signalement,5
moyen,5
