,0
résident,15
structure,11
bien,7
hébergement,7
sdf,7
personne,6
ressource,6
hôpital,6
prendre,5
mettre,5
association,4
social,4
faire,4
psychiatrique,4
domicile,4
espace,3
main,3
subir,3
lieu,3
pichon,3
propre,3
créer,3
demandeur,3
sortant,3
asil,3
dynamique,3
aller,3
pascale,3
falloir,3
accueillir,3
voisin,3
petit,3
ancien,2
activité,2
suite,2
affaire,2
contraindre,2
il,2
observer,2
collectif,2
ici,2
enquête,2
saint,2
reléguer,2
contrainte,2
parcours,2
place,2
sortir,2
sortie,2
particulièrement,2
devenir,2
précaire,2
important,2
étienne,2
étiqueter,2
groupe,2
temps,2
logement,2
travailleur,2
mouvementer,2
rue,2
noter,2
utile,2
trop,2
autant,2
charge,2
travail,2
nouveau,2
postulat,2
boire,2
rechute,2
pouvoir,2
torche,2
plan,2
capable,2
personnel,2
loin,2
cas,2
thierry,2
etc,2
rencontrer,1
quelquefois,1
refiler,1
redécouvrir,1
relever,1
raconter,1
redire,1
radio,1
quasiment,1
rapidement,1
relater,1
1997à,1
prise,1
publiques,1
poser,1
partenariat,1
participer,1
passer,1
peine,1
peinture,1
pepin,1
permettre,1
perspective,1
planter,1
pler,1
plume,1
point,1
politique,1
potentiel,1
public,1
presque,1
presse,1
priori,1
repas,1
privatif,1
privé,1
procédure,1
projet,1
proposer,1
proton,1
prouver,1
précédemment,1
prêter,1
rendre,1
saleté,1
reporter,1
violence,1
venir,1
veiller,1
urgence,1
urbanisme,1
universitaire,1
témoigner,1
trouver,1
transport,1
trajectoire,1
toxicomane,1
tourisme,1
tour,1
tiers3,1
thé,1
thèse,1
verre,1
voir,1
reprendre,1
vol,1
événement,1
évident,1
état,1
épreuve,1
émotion,1
élément,1
écrire,1
écarter,1
âgé,1
yves,1
vêtement,1
vraiment,1
vouloir,1
volontairement,1
voler,1
texte,1
terrain,1
tapis,1
taille,1
savoir,1
saluer,1
résider,1
référence,1
récupérer,1
récupération,1
récit,1
réciproquement,1
réaction,1
rmistes,1
revivre,1
revente,1
retenir,1
responsabilité,1
représentation,1
schizophrène,1
second,1
sentir,1
soutenir,1
sûr,1
sympathisant,1
susceptible,1
suggèr,1
squat,1
spécialement,1
soucier,1
service,1
sorte,1
soirée,1
sociologue,1
sociologique,1
signifier,1
servir,1
partager,1
mémoires,1
parcourir,1
collectivement,1
construire,1
construction,1
considérer,1
conseiller,1
connaître,1
compter,1
colloque,1
cohabitation,1
création,1
cité,1
château,1
chose,1
chemin,1
chambre,1
caractériser,1
capacité,1
cours,1
danie,1
cadre,1
disparaître,1
départ,1
déménagement,1
défier,1
découvrir,1
décorer,1
douter,1
doute,1
discussion,1
davantage,1
discrètement,1
discontinuité,1
difficulté,1
devoir,1
dernier,1
delà,1
ddas,1
café,1
cachalot,1
ouvrir,1
adopter,1
alter,1
alcooliser,1
aider,1
aide,1
agir,1
affiche,1
adresse,1
actuellement1,1
ambiguïté,1
acteur,1
acte,1
accueil,1
accompagnement,1
2007,1
2003,1
2001,1
alterne,1
ami,1
bâti,1
attendre,1
boutique,1
bon,1
biographique,1
bibelot,1
autobiographi,1
auprès,1
au,1
assistance,1
an,1
asile,1
arrière,1
architecture,1
apparaître,1
anthropologie,1
année,1
anniversaire,1
détenir,1
déterminister,1
ego,1
logique,1
ministère,1
mieux,1
meuble,1
mer,1
manifestation,1
main2,1
lumière,1
lit,1
montrer,1
lire,1
lien,1
leroux,1
lederman,1
justement,1
journaliste,1
jouer,1
mobilisation,1
médicament,1
embler,1
obéir,1
ouvrage,1
oublier,1
organiser,1
ordre,1
ordinaire,1
offrir,1
oeil,1
négatif,1
mémoire,1
nécessaire,1
nuit,1
nuage,1
non,1
nier,1
nettoyer,1
1999,1
inviter,1
intrusif,1
interviewer,1
expliquer,1
frappé,1
fragile,1
fonctionnement,1
fixe,1
familial,1
extraire,1
expérience,1
exemple,1
intervenant,1
essentiel,1
equipement,1
entièrement,1
entendre,1
ensembl,1
enfermer,1
enfant,1
fêter,1
graphiques,1
guéri,1
guérison,1
installer,1
inquiet,1
individuellement,1
inconditionnel,1
incertain,1
impossible,1
imaginer,1
imagination,1
illustrer,1
humanité,1
hervé,1
handicap,1
habitude,1
habiter,1
gérard,1
être,1
