,0
qpv,46
vote,39
politique,22
quartier,22
électoral,18
bureau,18
ensemble,16
ville,16
métropole,15
abstention,14
élection,13
pourcent,12
populaire,11
national,10
niveau,10
gauche,10
résultat,9
tour,9
échelle,8
scrutin,8
analyse,8
2017,8
être,8
participation,7
élevé,7
2022,7
lyon,7
compte,7
population,7
situer,6
doute,6
sous,6
moyenne,6
rn,6
droite,6
part,6
représentation,6
périmètre,6
présidentiel,6
représenter,5
bien,5
donnée,5
manière,5
considérer,5
territoire,5
homogène,5
économique,5
électeur,5
social,5
commune,4
mesure,4
candidat,4
graphique,4
méthode,4
reconstituer,4
ouvrier,4
classe,4
prendre,4
2014,4
législatif,4
faible,4
2015,4
particulier,4
inscrit,4
liste,4
effet,4
information,4
public,4
nombre,4
double,4
découpage,4
le,4
hui,3
composante,3
comportement,3
principal,3
faveur,3
géographique,3
espace,3
extrême,3
milieu,3
ici,3
grand,3
rassemblement,3
diagramme,3
constituer,3
premier,3
continuer,3
contour,3
fois,3
contre,3
sein,3
dispositif,3
dimension,3
important,3
marquer,3
habitant,3
permettre,3
année,3
braconnier,3
pen,3
observer,3
voter,3
aujourd,3
urbain,3
point,3
peser,3
apparaître,3
voir,3
projection,2
durée,2
juin,2
projet,2
écart,2
décroître,2
adresse,2
agir,2
récent,2
résulter,2
jeune,2
politiquement,2
encadrement,2
vue,2
dormagen,2
ancien,2
distribution,2
distance,2
cas,2
sens,2
dispersion,2
voix,2
différence,2
diffuser,2
difficulté,2
réalité,2
action,2
entendre,2
2023,2
homogénéité,2
étudier,2
hétérogène,2
1980,2
1990,2
rapporter,2
20,2
étranger,2
2007,2
offre,2
illustrer,2
front,2
2019,2
fort,2
équivalent,2
estimer,2
29,2
inscrire,2
électorat,2
présidentielle,2
40,2
renvoyer,2
particulièrement,2
partie,2
égard,2
faire,2
faiblesse,2
partir,2
exprimer,2
interroger,2
sig,2
votant,2
spatial,2
système,2
ci,2
ministère,2
variable,2
citoyen,2
valeur,2
utiliser,2
capital,2
statistique,2
cacher,2
cohésion,2
taux,2
connaître,2
pourtant,2
collovald,2
synthétiser,2
axe,2
loin,2
moyen,2
base,2
