,0
ville,90
numérique,65
service,63
acteur,46
nouveau,43
devenir,41
public,40
modèle,35
sans,33
google,33
abri,30
rue,29
économie,25
exemple,22
usager,22
question,21
secteur,21
être,20
opérateur,19
mettre,19
plateforme,19
smartphone,17
gratuité,17
faire,17
collectivité,17
économique,16
uber,16
espace,16
serviciell,16
projet,15
vie,15
besoin,15
transport,14
bien,14
grand,14
lyon,14
permettre,13
habitant,13
manière,13
maps,13
logement,13
usage,13
place,12
airbnb,12
pouvoir,12
mobilité,12
offre,12
métropole,12
personne,12
année,12
apparaître,12
passer,12
etc,12
sur,12
partage,12
an,12
voir,11
fort,11
énergie,11
stratégie,11
aide,11
forme,11
local,11
utilisateur,11
prendre,11
sous,11
valeur,10
bascule,10
trottoir,10
payer,10
amazon,10
dernier,10
robot,10
système,10
temps,10
mode,10
largement,10
rapport,10
chaîne,10
donnée,10
entreprise,10
vivre,10
tandis,9
offrir,9
france,9
terme,9
urbain,9
carte,9
autant,9
proposer,9
évolution,9
travail,9
ss,9
gratuit,9
smart,9
ensemble,8
objet,8
paysage,8
approche,8
réalité,8
présent,8
city,8
production,8
coût,8
aujourd,8
livre,8
livreur,8
dispositif,8
hui,8
demain,8
jusqu,8
utiliser,8
moyen,7
domaine,7
part,7
inscrire,7
tendance,7
monde,7
important,7
utilisation,7
immobilier,7
venir,7
développement,7
pair,7
essor,7
politique,7
porte,7
lien,7
cf,7
pratique,7
priver,7
société,7
intelligent,7
information,7
numéro,7
ancien,7
ligne,7
non,7
internet,7
réseau,7
témoigner,7
consommateur,6
coordonner,6
majeur,6
agir,6
contre,6
créer,6
transformation,6
loi,6
poser,6
saisir,6
opérer,6
désigner,6
accès,6
prix,6
face,6
multitude,6
lier,6
ailleurs,6
multiplier,6
changement,6
produit,6
action,6
falloir,6
partenariat,6
étude,6
quotidien,6
connaître,6
organiser,6
curb,6
mesure,6
construction,6
titre,6
analyse,6
davantage,6
phénomène,6
ressource,6
construire,6
image,6
exister,6
compte,6
marché,6
application,6
dépasser,6
physique,6
environnemental,5
quartier,5
restaurant,5
relation,5
repas,5
recette,5
cadre,5
idée,5
produire,5
réel,5
imaginaire,5
humain,5
impact,5
droit,5
10,5
labs,5
effectuer,5
lieu,5
livraison,5
historique,5
logique,5
covoiturage,5
fonder,5
producteur,5
conséquent,5
conséquence,5
ordinateur,5
concerner,5
particulièrement,5
entrant,5
plateform,5
fois,5
point,5
client,5
pose,5
chercher,5
couche,5
collectif,5
actif,5
2017,5
acte,5
voie,5
savoir,5
traditionnel,5
the,5
terrain,5
vtc,5
trop,5
échanger,5
2020,5
super,5
échange,5
travers,5
base,5
social,5
émergence,5
étape,5
aller,4
courant,4
coproduire,4
connecter,4
contribuable,4
course,4
court,4
contact,4
associer,4
principal,4
constater,4
contribuer,4
piratage,4
plan,4
outil,4
arriver,4
tendre,4
particulier,4
compter,4
pay,4
cloud,4
appeler,4
stratégique,4
apple,4
plate,4
commerçant,4
commerce,4
pilotage,4
positionner,4
réguler,4
aider,4
informatique,4
il,4
idé,4
ici,4
ibm,4
economist,4
écouter,4
2014,4
engager,4
français,4
enjeu,4
fonctionner,4
entrée,4
essentiel,4
état,4
figure,4
imaginer,4
vélo,4
modifier,4
jeu,4
mieux,4
cœur,4
marquer,4
site,4
maison,4
direct,4
vis,4
lire,4
limite,4
voiture,4
volonté,4
libre,4
aborder,4
vouloir,4
véhicule,4
au,4
exploitation,4
recherche,4
caractère,4
blablacar,4
retrouver,4
autour,4
ce,4
révolution,4
réaliser,4
cause,4
présenter,4
autorité,4
capacité,4
promesse,4
réduire,4
risque,4
auparavant,4
recomposition,4
représentation,4
bâtiment,4
direction,3
maillon,3
devoir,3
vente,3
magasin,3
low,3
logistique,3
profil,3
diriger,3
location,3
accompagner,3
visible,3
vite,3
destination,3
absence,3
rejoindre,3
disruption,3
distance,3
relever,3
voire,3
remettre,3
vol,3
renvoyer,3
livrer,3
adresse,3
managemer,3
profond,3
transition,3
métier,3
mutualisation,3
musique,3
rachel,3
racheter,3
travailleur,3
réflexion,3
multiple,3
rapide,3
trottinette,3
mouvement,3
moteur,3
mot,3
montée,3
montrer,3
trouver,3
rare,3
modalité,3
agrégateur,3
téléphonique,3
culture,3
mise,3
unis,3
maîtriser,3
matériel,3
delà,3
licence,3
cabine,3
diversité,3
abandonner,3
abordable,3
baraud,3
eau,3
bon,3
effacement,3
billet,3
effet,3
2015,3
heure,3
gérer,3
group,3
2012,3
gratuite,3
2010,3
gestion,3
formalité,3
domicile,3
force,3
fonction,3
foisonnement,3
époque,3
financier,3
financer,3
favoriser,3
faveur,3
états,3
15,3
éviter,3
facturation,3
évoluer,3
identifier,3
2018,3
2019,3
boston,3
lancer,3
rôle,3
journal,3
transformer,3
dos,3
doute,3
bout,3
révéler,3
jamais,3
isabelle,3
inverse,3
intérêt,3
débat,3
décennie,3
zoom,3
initiative,3
dédier,3
défi,3
individu,3
indispensable,3
bouquet,3
écologique,3
immatériel,3
2022,3
écosystème,3
botsman,3
illustration,3
serfaty,3
adapter,3
couverture,3
promoteur,3
partenaire,3
optimiser,3
technologique,3
colin,3
prospective,3
expliquer,3
constituer,3
partie,3
porter,3
constructeur,3
partir,3
toronto,3
pourcent,3
page,3
soulever,3
présente,3
publicité,3
conclusion,3
sommaire,3
territoire,3
ouvrage,3
publier,3
orienter,3
confiance,3
conduire,3
paiement,3
puissance,3
poche,3
start,3
article,3
stocker,3
stationnement,3
annonceur,3
organisation,3
paris,3
prospectif,3
association,3
comprendre,3
privé,3
traitement,3
continuer,3
nécessaire,3
contraindre,3
solution,3
amont,3
problématique,3
ambition,3
objectif,3
sncf,3
commun,3
nouer,3
siècle,3
sidewalk,3
nicolas,3
signifier,3
ouvrir,3
aval,3
consulting,3
complexe,3
susceptible,3
toutefois,3
informer,2
proposition,2
âge,2
rio,2
école,2
illustre,2
pin,2
perspective,2
personnel,2
proximité,2
immeuble,2
supplément,2
infrastructur,2
propriétaire,2
robotique,2
indirect,2
revenir,2
street,2
précisément,2
peut,2
impôt,2
incontournable,2
identité,2
indiquer,2
placer,2
streaming,2
sujet,2
piéton,2
illectronism,2
structure,2
écran,2
hôte,2
rupture,2
fonctionnement,2
énergétique,2
fonctionnalité,2
presque,2
équipement,2
principe,2
financement,2
finance,2
réponse,2
filiale,2
étanche,2
réinventer,2
récemment,2
récent,2
fer,2
processus,2
étendre,2
progressivement,2
faille,2
situer,2
évoquer,2
expression,2
exploiter,2
émerger,2
post,2
sidewalks,2
élément,2
signer,2
hyperviseur,2
rouler,2
polémique,2
henri,2
habiter,2
habitat,2
institutionnel,2
groupe,2
spécialiste,2
sphère,2
édition,2
source,2
élargir,2
positionnement,2
février,2
fur,2
freemium,2
réservation,2
rues1,2
élargissement,2
fortement,2
élevé,2
instagram,2
métropolitain,2
insérer,2
ubérisation,2
sens,2
on,2
sectoriel,2
up,2
mentalité,2
meilleur,2
open,2
maître,2
urbaine,2
matière,2
tissu,2
massivement,2
mars,2
quai,2
marchandiser,2
valoir,2
vendeur,2
map,2
manqu,2
opportunité,2
opposition,2
management,2
tirer,2
minute,2
toucher,2
opération,2
mobile,2
neuf,2
mécanisme,2
nom,2
nombre,2
tranzito,2
tramway,2
note,2
multiplication,2
raison,2
quota,2
multi,2
rappeler,2
train,2
moovit,2
nécessiter,2
monopolistiquer,2
monopolistique,2
serveur,2
septembre,2
traduire,2
téléphone,2
traduction,2
mobiliser,2
thématique,2
thermostat,2
zone,2
publicitaire,2
synthèse,2
jour,2
suscité,2
jouer,2
jean,2
janeiro,2
payeur,2
national,2
invisibilité,2
investissement,2
pdg,2
perception,2
intéresser,2
intégrer,2
intégrateur,2
intervenant,2
percevoir,2
interroger,2
interpeller,2
interpellation,2
interopérabilité,2
véritable,2
internaut,2
représenter,2
lancement,2
main,2
participer,2
orchestrateur,2
organisateur,2
machine,2
verdier,2
lutte,2
long,2
londres,2
londonien,2
vide,2
regard,2
périmètre,2
vidéo,2
regarder,2
orient,2
registre,2
limiter,2
pandémie,2
lieux,2
tenir,2
sac,2
leboncoin,2
reprendre,2
tarif,2
pays,2
000,2
disposition,2
bureau,2
déplacement,2
dénoncer,2
contexte,2
amener,2
aménagement,2
aménageur,2
américain,2
bus,2
dématérialisation,2
démarche,2
contrario,2
conception,2
analyser,2
contrôler,2
définir,2
décrire,2
annonce,2
annoncer,2
coordination,2
bras,2
corps,2
anthropomorphique,2
contenu,2
déplacer,2
déploiement,2
consulter,2
accélèr,2
en,2
acheter,2
condition,2
cas,2
cartographie,2
activité,2
addiction,2
cardon,2
adulte,2
considérable,2
considérer,2
consister,2
affaire,2
consommation,2
affirmer,2
consommer,2
eats,2
développer,2
cahier,2
désintermédiateur,2
anticiper,2
déclarer,2
déchargement,2
aspect,2
côté,2
doctrine,2
associatif,2
distribuer,2
distinguer,2
basculer,2
disruptif,2
disque,2
bancaire,2
disparaître,2
discret,2
demande,2
dijon,2
attente,2
digital,2
différemment,2
auparaver,2
auteur,2
difficile,2
avenir,2
dialogue,2
beaucoup,2
asie,2
cost,2
dominique,2
décembre,2
