,0
indicateur,32
croissance,25
pib,25
politique,18
public,18
économique,13
bien,12
social,9
écologique,8
mettre,8
dernier,7
société,7
grand,6
progrès,6
monde,5
action,5
crise,5
année,5
objectif,5
national,5
développement,5
humain,5
exemple,5
explication,5
utiliser,5
cours,4
sens,4
pauvreté,4
local,4
collectivité,4
civil,4
chiffre,4
devenir,4
2007,4
nation,4
formule,4
pouvoir,4
nombre,4
décennie,4
être,4
terme,3
commencer,3
taux,3
jusqu,3
choix,3
compte,3
compter,3
choisir,3
condition,3
largement,3
statistique,3
gaz,3
fort,3
production,3
productivité,3
critère,3
institution,3
réduction,3
charger,3
point,3
international,3
croyance,3
déclarer,3
définition,3
influence,3
intérêt,3
convention,3
empreindre,3
inégalité,3
plan,3
enquête,3
sociale,3
côté,3
serre,3
mesure,3
valeur,3
moyen,3
organiser,3
partager,3
émission,3
vivre,3
agir,3
particulier,3
nouveau,3
enjeu,2
démentir,2
média,2
époque,2
négliger,2
il,2
entreprise,2
prise,2
dérivée,2
accompagner,2
important,2
décision,2
richesse,2
actionnair,2
haut,2
éducation,2
débat,2
individuel,2
industriel,2
doute,2
région,2
partie,2
donner,2
réseau,2
disposer,2
porter,2
recours,2
chercheur,2
européen,2
niveau,2
fétichisation,2
france,2
fournir,2
2008,2
2009,2
gagner,2
fondre,2
gain,2
fonction,2
fois,2
financement,2
finalité,2
prééminence,2
fin,2
publier,2
instant,2
puissance,2
fait,2
faire,2
glorieuse,2
période,2
qualité,2
projet,2
évaluation,2
non,2
raison,2
existence,2
rapport,2
excessif,2
exception,2
devoir,2
inertie,2
fétiche,2
mise,2
pnud,2
large,2
syndicat,2
matériel,2
pays,2
bonheur,2
bon,2
aucun,2
suivi,2
autant,2
simple,2
lier,2
situation,2
place,2
conférence,2
jugement,2
connaître,2
juger,2
usage,2
commun,2
oublier,2
beaucoup,2
chose,2
cœur,2
territoire,2
légitime,2
collectif,2
toutefois,2
croissant,2
voir,2
manifestation,2
an,2
critiquer,2
majeur,2
critique,2
partout,1
phénomène,1
progresser,1
préconisation,1
progress,1
progression,1
pertinent,1
patrick,1
parisot,1
parti,1
promouvoir,1
partage,1
nobel,1
nicolas,1
performatif,1
passer,1
précisément,1
proximité,1
patrimoine,1
parlement,1
proposer,1
office,1
par,1
objectivation,1
orientation,1
poursuite,1
occuper,1
poids,1
organisationnel,1
pourcent,1
organisation,1
posteriori,1
oracle,1
officiellement,1
positif,1
portée,1
ocde,1
porteur,1
officiel,1
populaire,1
pollu,1
orienter,1
planification,1
programme,1
prennent,1
pilotage,1
profit,1
numéro,1
octobre,1
ouvrage,1
outil,1
proche,1
processus,1
probablement,1
plaisanter,1
prix,1
précéder,1
priorité,1
priori,1
principale,1
principal,1
prince,1
pionnièrescette,1
1970,1
prégnante,1
prélèvement,1
unie,1
tête,1
type,1
trimestre,1
travail,1
transparent,1
toucher,1
tomber,1
tombent,1
thème,1
texte,1
terre,1
tendre,1
technique,1
technicien,1
tard,1
sécurité,1
surmonter,1
supprimer,1
support,1
suffisant,1
suffisamment,1
subir,1
stratégie,1
stiglitz,1
sphère,1
soutenable,1
souffrance,1
souffle,1
union,1
unir,1
utilisent,1
écrire,1
événement,1
évoquer,1
évolution,1
évoluer,1
évident,1
étude,1
éthique,1
étape,1
établir,1
énorme,1
élu,1
élevé,1
égal,1
écosystème,1
variante,1
économiste,1
économie,1
échelle,1
zéro,1
vue,1
vraie,1
vouloir,1
voie,1
viveret,1
vite,1
viser,1
vie,1
vert,1
sorte,1
sort,1
sociologique,1
rarement,1
repère,1
reprendre,1
reposer,1
net,1
remplir,1
remplacer,1
remettre,1
remboursement,1
relever,1
relayer,1
reflet,1
reconstruction,1
recette,1
rapide,1
ressource,1
quête,1
quitter,1
quantité,1
quantitatif,1
quantification,1
qualification,1
puissant,1
présider,1
préserver,1
présente,1
présentation,1
présent,1
présence,1
responsable,1
retraite,1
seuil,1
résumé,1
service,1
septembre,1
sensibilisation,1
second,1
scénario,1
scientifique,1
schématiquement,1
savoir,1
sarkozy,1
santé,1
sacralisation,1
rôle,1
révolution,1
résultat,1
revanche,1
résistible,1
résider,1
réserve,1
répéter,1
régulier,1
réelle,1
rédaction,1
récit,1
récent,1
réalisation,1
rythme,1
riche,1
revue,1
remède,1
la,1
naturel,1
dépens,1
contribuer,1
contrepoids,1
contrebalancer,1
contre,1
contingent,1
contestation,1
conte,1
consulte,1
construire,1
construction,1
constitution,1
constituer,1
constater,1
