,0
lacassagne,69
médecine,40
alexandre,36
être,27
lyon,23
collection,19
criminel,18
histoire,17
médecin,16
médical,16
faculté,14
affaire,12
musée,11
écrire,11
cadavre,11
militaire,10
morgue,10
grand,10
chaire,10
bibliothèque,9
service,9
professeur,9
crime,9
étude,9
objet,9
ecole,8
malle,8
léon,8
légal,8
social,8
an,8
gambetta,8
grâce,8
gouffé,8
science,8
analyse,7
livre,7
homme,7
donnée,7
strasbourg,7
jaboulay,7
apparaître,6
hygiène,6
publier,6
lyonnais,6
devenir,6
légiste,6
santé,6
bien,6
1889,6
hôtel,6
mort,6
ouvrage,6
académie,6
municipal,6
place,5
jean,5
travail,5
rapport,5
prison,5
vie,5
collectionneur,5
lieu,5
paris,5
gall,5
anthropologie,5
trouver,5
criminalité,5
âge,5
construire,5
conseil,5
créer,5
rédiger,5
œuvre,5
document,5
côté,5
légale,5
médico,5
université,4
lombroso,4
constituer,4
août,4
imprimer,4
fonds,4
temps,4
passé,4
tatouage,4
vacher,4
formation,4
val,4
rue,4
expert,4
culture,4
propos,4
état,4
illustrer,4
saint,4
pont,4
autopsie,4
police,4
corps,4
millery,4
avoir,4
milieu,4
assassinat,4
aspect,4
1880,4
conséquence,4
thèse,4
bernard,4
caractère,4
psychologie,4
reflet,4
directeur,4
société,4
conception,4
ville,4
agrégation,4
judiciaire,4
dieu,4
pédagogue,4
disparition,4
algérie,4
père,4
devoir,4
comporter,4
sociologie,4
1913,4
dernier,4
siècle,4
nommer,4
situer,3
chirurgie,3
donation,3
titulaire,3
retrouver,3
décès,3
décembre,3
cité,3
sanglant,3
scientifique,3
toxicologie,3
doyle,3
toucher,3
gavarret,3
criminelle,3
français,3
claude,3
correspondre,3
contre,3
conan,3
connaissance,3
france,3
taille,3
consacrer,3
pulmonaire,3
exister,3
rockefeller,3
expertise,3
cahors,3
carrière,3
présenter,3
facette,3
sexuel,3
facteur,3
pédagogie,3
portrait,3
technique,3
suggérer,3
faire,3
enseignement,3
femme,3
richetto,3
tenir,3
précision,3
rhône,3
carnot,3
chemin,3
président,3
000,3
général,3
idée,3
il,3
établissement,3
archive,3
témoin,3
intérêt,3
mourir,3
1894,3
philosophie,3
vieux,3
personnalité,3
permettre,3
1903,3
vacance,3
époque,3
insister,3
passionner,3
original,3
passionnel,3
ancien,3
anatomique,3
mère,3
international,3
jour,3
vidal,3
édition,3
1886,3
photographie,3
type,3
identification,3
12,3
porte,3
13,3
16,3
montrer,3
occasion,3
moderne,3
voir,3
morphologie,3
hôpital,3
assassin,3
pièce,3
parent,3
art,3
identifier,3
1881,3
acquérir,3
opposition,3
droite,2
disparaître,2
lier,2
léger,2
donner,2
louis,2
retraite,2
rester,2
national,2
distinguer,2
local,2
droit,2
non,2
long,2
objectif,2
lecture,2
représenter,2
donne,2
reprendre,2
douer,2
lieux,2
domaine,2
locard,2
docteur,2
marat,2
médiathèque,2
crâne,2
mouvement,2
réel,2
membre,2
moulage,2
mortuaire,2
création,2
mettre,2
lésion,2
ministère,2
réunir,2
modernisme,2
rôle,2
criminologie,2
mois,2
matière,2
date,2
mathieu,2
rubrique,2
roux,2
marseille,2
durer,2
mystérieux,2
devenu,2
major,2
maison,2
différence,2
maire,2
montpellier,2
main,2
magistrat,2
revenir,2
obtenir,2
porter,2
déboucher,2
fils,2
projet,2
phrénologie,2
proposer,2
impendere,2
fond,2
finalement,2
précis,2
fer,2
exposition,2
importance,2
pharmacie,2
peuple,2
initiative,2
injalbert,2
eyraud,2
inspirer,2
identité,2
problème,2
probablement,2
privilégier,2
généreux,2
poncet,2
guillotière,2
guerre,2
politique,2
poste,2
policier,2
point,2
hugo,2
gloire,2
prendre,2
hygiéniste,2
pierre,2
gailleton,2
prisonnier,2
expérience,2
passion,2
début,2
recueillir,2
orientation,2
développement,2
jusqu,2
recevoir,2
habita,2
justice,2
reconnaître,2
dérouler,2
instruction,2
refuge,2
la,2
député,2
déportation,2
remarquable,2
découvrir,2
langage,2
emile,2
enfant,2
juge,2
enseignemer,2
partisan,2
existence,2
psychologiqu,2
public,2
exemple,2
interne,2
publication,2
exceptionnelle,2
parler,2
page,2
joie,2
pénal,2
entendre,2
quai,2
journal,2
détenu,2
monographie,2
citoyen,2
titre,2
chaussure,2
statistique,2
beau,2
vrai,2
chirurgical,2
chirurgien,2
anticiper,2
soutenir,2
bataillon,2
antonin,2
vérité,2
théorie,2
vêtement,2
antonins,2
anthropologique,2
citer,2
50,2
clan,2
3èm,2
claudius,2
2ème,2
clinique,2
27,2
cm,2
commencer,2
application,2
commission,2
écrit,2
beaucoup,2
bibliothèqu,2
apporter,2
catalogue,2
buste,2
table,2
tableau,2
candidat,2
victor,2
aller,2
ami,2
alcoolisme,2
amour,2
ailleurs,2
aide,2
caserio,2
violent,2
bois,2
bibliothécaire,2
sujet,2
certificat,2
affirmer,2
visage,2
terme,2
administration,2
biologique,2
admettre,2
vitam,2
vivre,2
angle,2
bienfait,2
année,2
compagnon,2
série,2
sein,2
1899,2
épistémologie,2
transfert,2
conduire,2
1914,2
1908,2
autopsier,2
arrondissement,2
1843,2
transmettre,2
1868,2
19,2
épouser,2
argot,2
construction,2
autobiographie,2
tueur,2
1895,2
auprès,2
auteur,2
conservateur,2
1876,2
établir,2
conserver,2
1884,2
arme,2
tuberculose,2
coté,2
tête,2
élève,2
compte,2
sadique,2
18,2
signalon,2
condamnation,2
traumatique,2
attachant,2
comportement,2
concept,2
singulier,2
élever,2
comporte,2
178,2
pantois,1
verte,1
vero,1
veine,1
partir,1
variété,1
panorama,1
travailleur,1
trousse,1
partie,1
troisième,1
tri,1
paradoxe,1
physique,1
veuve,1
trouble,1
particulier,1
pin,1
parisien,1
parmi,1
pile,1
partager,1
pharmacien,1
passer,1
philosophie10,1
pays,1
peine,1
pensée,1
perpétuité,1
pamphlet,1
personnage,1
user,1
paul,1
personnel,1
ultime,1
uns,1
uniquement,1
peut,1
universitaire,1
pauvreter,1
patrimoine,1
varier,1
vailler,1
passerell,1
vallin,1
valeur,1
philippe,1
passionné,1
tunnel,1
turin,1
patience,1
pasteur,1
pastorien,1
physiologique,1
pathogénique,1
pathologie,1
tâche,1
sa,1
offrir,1
vice,1
palais,1
épidémiologie,1
méconnaissent,1
médaille,1
épicerie,1
éminent,1
élevé,1
électoral,1
électif,1
média,1
médiate,1
écout,1
éclectisme,1
ère,1
âpreté,1
mélodie,1
zone,1
xvièm,1
mémoire,1
ménage,1
mérite,1
wilde,1
épidémiologique,1
mutualité,1
musset,1
évidemment,1
événement,1
montre,1
montée,1
évoquer,1
moral,1
moraliste,1
morbide,1
évoqu,1
évolution,1
éventreur,1
épouse,1
étrangler,1
étranger,1
étonnamment,1
moustache,1
moyen,1
mu,1
multiple,1
municipale,1
municipalité,1
wagon,1
naturellement,1
vétusté,1
vieillesse,1
plan,1
viscéral,1
ollier,1
opposer,1
optique,1
organe,1
organiquemer,1
organisation,1
orient,1
vieilless,1
vitrine,1
origine,1
vieillard,1
orthopédiste,1
oscar,1
ouverture,1
ouvrir,1
victoire,1
victime,1
paix,1
officiel,1
obligatoire,1
naître,1
volume,1
nerval,1
nice,1
véritable,1
vénéréologue,1
nizier,1
nobel,1
nom,1
vue,1
voyage,1
voire,1
vitriolerie,1
norme,1
notaire,1
nouguier,1
nouvelle,1
novembre,1
numéro,1
nécessité,1
obitoir,1
voie,1
placer,1
traire,1
planer,1
plante,1
relation,1
religion,1
relire,1
relégation7,1
sous,1
souriant,1
remonter,1
soumettre,1
rencontre,1
rendre,1
rendu,1
souci,1
sottise,1
renverser,1
replier,1
sortie,1
son,1
reposer,1
repousser,1
somme,1
reproduire,1
reproduit,1
soir,1
relais,1
rejoindre,1
regrouper,1
rare,1
qui,1
quincey,1
quête,1
rabatel,1
succès,1
rabatteur,1
raconter,1
radium,1
raison,1
successeur,1
raspail,1
souvenir,1
subjectif,1
rassembler,1
ravachol,1
rebondissement,1
stéthoscope,1
statuette,1
recherche,1
recueille,1
squelettique,1
soyez,1
soigner,1
responsabilité,1
responsable,1
répétiteur,1
récidiviste,1
réconcilier,1
scénographique,1
réforme,1
référence,1
région,1
répartir,1
républicain,1
