,0
exclusion,4
grand,2
pays,2
immigré,2
minorité,2
travail,2
racial,2
marché,2
emploi,2
discrimination,2
qualification,1
raison,1
quartier,1
qualifié,1
2003,1
pôle,1
recevoir,1
prospective,1
porter,1
politique,1
plupart,1
partout,1
partie,1
précaire,1
scolaire,1
restrictif,1
référence,1
élevé,1
éducation,1
édité,1
vivre,1
victimer,1
texte,1
taux,1
systématiquement,1
système,1
surreprésentation,1
surcroît,1
souffrir,1
sortie,1
soixante,1
sert,1
secteur,1
pair,1
particulièrement,1
notable,1
origine,1
connaître,1
européen,1
europe,1
ethnique,1
document,1
dix,1
création,1
conséquence,1
citoyenneté,1
occasion,1
chômage,1
cause,1
cas,1
bon,1
bien,1
atypique,1
antidiscriminatoire,1
européenn,1
exister,1
extra,1
fiche,1
numéro,1
année,1
niveaude,1
naître,1
millénaire3,1
menacer,1
légal,1
lyon,1
loi,1
juin,1
journée,1
jeune,1
informel,1
génération,1
forme,1
éloigné,1
