,0
économie,28
proximité,20
emploi,15
poids,9
représenter,5
pourcent,4
croissance,4
activité,4
chômage,4
1999,3
grand,3
offrir,3
service,3
comparaison,3
principale,2
revenu,2
non,2
métier,2
solidaire,2
mettre,2
lyon,2
urbaine,2
économique,2
développement,2
décennie,2
domestique,2
diversité,2
étude,2
être,2
aborder,2
20092,2
20093,2
aire,2
cadre,1
proposer,1
renvoyer,1
quantitatif,1
qualification,1
publier,1
présentiell,1
préoccupation,1
29,1
prospectif,1
problème,1
problématique,1
retrouver,1
30,1
pouvoir,1
37,1
38,1
pays,1
occasion,1
abri,1
nationale1,1
22,1
réel,1
2013,1
métropole,1
évidence,1
2009,1
étape,1
élément,1
éclairage,1
volet,1
vision,1
viser,1
valeur,1
20094,1
tiers,1
stock,1
spectr,1
sommaire,1
2009v,1
social,1
20102,1
salariéesiii,1
salarier,1
réinterroger,1
réflexion,1
national,1
accent,1
cahier,1
cœur,1
développer,1
an,1
démarche,1
délocalisables1,1
délocalisable,1
angle,1
dossier,1
appeler,1
approche,1
dernier,1
création,1
montrer,1
articulation,1
contre,1
contexte1,1
constituer,1
consacrer,1
confronter,1
concurrence,1
autour,1
circuit,1
bien,1
ajouter,1
emplois3,1
enjeu,1
exportateur,1
mondialeconclusion,1
actuel,1
matièred,1
masse,1
marchand,1
lyonnaise1,1
lyonnais,1
agglomération,1
lutte,1
local,1
largement,1
large,1
lancer,1
2000,1
initier,1
françaisii,1
françaises1,1
français,1
france,1
fléau,1
figure,1
iv,1
