,0
donnée,20
personnel,9
rapport,6
traitement,5
utilisateur,4
économie,4
venir,3
citoyen,3
enjeu,3
numérique,3
2013,3
politique,2
nouveau,2
réseau,2
du,2
organisation,2
définir,2
objet,2
modèle,2
impact,2
relation,2
limite,2
futur,2
privatisation,2
collectivité,2
http,2
souligner,2
modalité,2
administration,2
www,2
bien,2
appeler,2
coeur,2
usager,2
accaparement,2
collecte,2
échange,2
partage,1
place,1
proposer,1
problème,1
valeur,1
primordial,1
premiere,1
poser,1
porter,1
vision,1
piste,1
partageron,1
petrole,1
voir,1
protection,1
permettre,1
pdf,1
patrimoine,1
pas,1
ouvriron,1
partie,1
particulier,1
stratégique,1
présider,1
stratégie,1
question,1
stockage,1
stimulant,1
sont,1
sommaire,1
sens,1
résout,1
synthèse,1
rémunération,1
risque,1
système,1
restitution,1
technique,1
total,1
représenter,1
traiteron,1
repose,1
repenser,1
relève,1
relationnel,1
transformer,1
regarder,1
recueillir,1
une,1
rappeler,1
radicalement,1
responsable,1
03,1
numerique_2013,1
demain,1
collectivisation,1
collin,1
com,1
comprendre,1
conséquence,1
croisement,1
direct,1
note,1
diversité,1
donnee,1
donnees,1
donneesouvertes,1
défaut,1
définition,1
colin,1
client,1
circulation,1
cerner,1
ce,1
catégorisations,1
catégorie,1
carburant,1
capacité,1
avancé,1
autour,1
appartenir,1
analyse,1
affaire,1
acteurs2,1
accès,1
10,1
economie,1
enjeux,1
entreprise,1
incontestablement,1
non,1
noir,1
ne,1
métaphore,1
04,1
mission,1
mise,1
matiere,1
manière,1
les,1
la,1
institution,1
info,1
individuel,1
impossible,1
etrange,1
https,1
html,1
henriverdier,1
grand,1
gouv,1
fructifier,1
fr,1
forme,1
fiscalité,1
fiscalite,1
files,1
façonner,1
faire,1
expertise,1
évolution,1
