,0
solidarité,50
collectivité,48
richesse,40
péréquation,31
nouveau,28
critère,24
territorial,22
local,22
financier,21
fiscal,19
etat,18
national,18
territoire,16
place,16
permettre,14
commune,14
dotation,14
mise,14
compte,13
loi,13
besoin,13
public,12
évaluation,12
égalité,11
ressource,11
objectif,11
prise,11
inégalité,10
bien,10
redistribution,10
pauvre,9
faire,9
rapport,9
compétence,9
forme,9
recette,9
intercommunal,8
donner,8
équité,8
2010,8
réel,8
nature,8
horizontal,8
année,8
moyen,8
taxe,7
partir,7
dispositif,7
politique,7
hui,7
riche,7
acteur,7
aujourd,7
décembre,7
fonds,7
réduction,7
échec,6
habitant,6
pourcent,6
potentiel,6
réforme,6
pauvreté,6
application,6
jamais,6
pertinent,6
mécanisme,6
répartition,6
outil,6
exécutif,6
département,6
limite,6
prendre,6
effectuer,6
imposer,5
imposition,5
important,5
moyenne,5
pression,5
base,5
concerner,5
grandissant,5
professionnel,5
article,5
aucun,5
fois,5
ensemble,5
poids,5
notion,5
titre,5
manœuvre,5
considérer,5
exercer,5
européen,5
euro,5
décret,5
charge,5
2012,5
marge,5
budget,5
service,5
fonction,5
répartir,5
non,5
frontière,5
rural,5
comparaison,5
égalitaire,5
epci,5
communal,4
principe,4
intercommunalité,4
conseil,4
nombre,4
effet,4
fictif,4
2014,4
finance,4
décentralisation,4
72,4
territorialiser,4
démographique,4
unitaire,4
urgent,4
volume,4
agir,4
2007,4
écart,4
économique,4
1979,4
1948,4
développement,4
effort,4
foncier,4
modalité,4
région,4
handicap,4
profit,4
géographique,4
global,4
aménagement,4
raison,4
approche,4
historique,4
assumer,4
espace,3
environnement,3
mesure,3
indirect,3
déterminer,3
induire,3
gouvernement,3
discrimination,3
exercice,3
lieu,3
existence,3
exploitation,3
définition,3
juillet,3
contribuable,3
constitution,3
définir,3
déficit,3
coût,3
france,3
largement,3
fonctionnement,3
information,3
être,3
situation,3
poser,3
peser,3
urbain,3
plan,3
caractère,3
trouver,3
asseoir,3
traditionnel,3
pouvoir,3
passer,3
second,3
produire,3
tirer,3
terrain,3
président,3
prévoir,3
atout,3
cause,3
vertical,3
amener,3
montant,3
mode,3
administrer,3
pacte,3
2013,3
zone,3
social,3
risque,3
ancien,3
évaluer,3
commission,3
régional,3
strate,2
substitution,2
fngir,2
financement,2
fin,2
source,2
souffle,2
souhaiter,2
sphère,2
suppression,2
file,2
mm,2
fi,2
escompter,2
éviter,2
engendrer,2
état,2
éligibilité,2
envelopper,2
élevé,2
égard,2
erreur,2
vision,2
surprenant,2
vient,2
exclusion,2
valeur,2
trop,2
total,2
faiblesse,2
terme,2
séduisant,2
exploiter,2
redistributif,2
savoir,2
rénover,2
inégal,2
jeu,2
philippe,2
jusqu,2
lier,2
particulièrement,2
particularisme,2
loin,2
organique,2
législateur,2
mairie,2
numéro,2
nous,2
nom,2
méconnaître,2
mesurer,2
mettre,2
mieux,2
multiple,2
intérieur,2
intervention,2
instituer,2
harmonisation,2
régulièrement,2
garantie,2
représenter,2
redistribuer,2
groupement,2
général,2
reconstruction,2
recherche,2
ratio,2
procéder,2
question,2
identique,2
ii,2
iii,2
préfet,2
préciser,2
provoquer,2
propre,2
particularité,2
institutionnel,2
correcteur,2
critique,2
démarche,2
action,2
conscience,2
chef,2
connaître,2
corriger,2
23,2
avenir,2
difficile,2
27,2
coïncider,2
décider,2
autant,2
doter,2
condition,2
démunie,2
accroissement,2
circulaire,2
création,2
disposition,2
classique,2
accorder,2
atteindre,2
appuyer,2
devenir,2
compatible,2
discriminatoire,2
devoir,2
direct,2
dgf,2
actuel,2
compensation,2
bénéficier,2
caractériser,2
développer,2
bâti,2
contributif,2
adapter,2
bénéficiaire,2
admettre,2
déposer,2
déséquilibre,2
16,2
2003,2
conséquence,2
dépit,2
dépendre,2
2004,2
cadre,2
ailleurs,2
1982,2
2008,2
administré,2
repose,1
renforcer,1
reporter,1
rené,1
rentrer,1
réelle,1
aggraver,1
rendre,1
remédier,1
remplacement,1
reprise,1
remet,1
remanier,1
adosser,1
relatif,1
reposer,1
appeler,1
apporter,1
responsable,1
réfléchir,1
ampleur,1
référence,1
aider,1
aid,1
réalité,1
régionaliser,1
règlement,1
ruralité,1
ancrer,1
rouage,1
annuel,1
annuellement,1
richert,1
appartenir,1
régir,1
réglementaire,1
retrait,1
amoindrir,1
agrégé,1
rémy,1
réaliser,1
raymond,1
regrouper,1
problème,1
autorité,1
avancée,1
proposer,1
propos,1
propension,1
programmer,1
azimut,1
profil,1
bloc,1
produit,1
bouleversement,1
bout,1
prochain,1
privé,1
autoriser,1
privilégie,1
priver,1
budgétaire,1
pris,1
priorité,1
priori,1
principal,1
bénéfice,1
presque,1
pratiquer,1
pourtant,1
cacher,1
poste,1
précisément,1
prélever,1
regretter,1
attractiviter,1
regard,1
reforme,1
redéploiement,1
redresser,1
approfondir,1
arithmétique,1
assigner,1
assister,1
république,1
rattaché,1
rattachement,1
attention,1
raréfaction,1
raisonnable,1
prélèvement,1
attribuer,1
audacieux,1
quasi,1
quantifier,1
qualité,1
qu,1
pétrolier,1
augmentation,1
péréquateur,1
augmentent,1
prévoit,1
autonomie,1
préparation,1
répondre,1
eau,1
réserver,1
35,1
viser,1
vise,1
24,1
vie,1
vaste,1
vandierendonck,1
28,1
vague,1
2èm,1
urgence,1
urbaine,1
309,1
unité,1
une,1
voir,1
tête,1
témoigner,1
tutelle,1
40,1
403,1
travers,1
transversal,1
trancher,1
traité,1
traduire,1
44,1
500,1
toilettage,1
vocation,1
volet,1
résolumer,1
1992,1
évolution,1
évoluer,1
12,1
éventuel,1
144,1
étroitement,1
étroit,1
168,1
équiter,1
équitable,1
énumérer,1
énième,1
1990,1
élever,1
volonté,1
1996,1
1998,1
2001,1
économie,1
échelon,1
2005,1
âge,1
zonage,1
yvon,1
yves,1
vrai,1
vouloir,1
2009,1
51,1
54,1
70,1
signe,1
stabilité,1
accroissemer,1
souverain,1
soutien,1
sous,1
sourcer,1
accès,1
accélèr,1
achat,1
sortir,1
acquis,1
solennel,1
siècle,1
servir,1
territorialisation,1
adaptation,1
caisse,1
septembre,1
sens,1
sembler,1
secteur,1
schéma,1
scale,1
révéler,1
révélateur,1
révèl,1
révision,1
résulter,1
state,1
statistique,1
stock,1
stratégique,1
territoriale,1
71,1
80,1
abandon,1
abandonner,1
tenter,1
tenir,1
abattement,1
taux,1
tard,1
sévère,1
séparer,1
sénateur,1
sénat,1
aboutir,1
synonyme,1
absence,1
accentuer,1
supplémentaire,1
superficie,1
suffisant,1
suffisamment,1
substituer,1
subsidiarité,1
subsidiarite,1
subir,1
structurel,1
positionnement,1
perte,1
porter,1
gestion,1
idéologique,1
idé,1
dallier,1
ici,1
dcrtp,1
demeurer,1
dernier,1
habitation,1
gérer,1
difficilemer,1
grâce,1
diminution,1
directe,1
discriminer,1
culture,1
garanti,1
février,1
discutable,1
friche,1
freville,1
françois,1
disparate,1
frais,1
fpic,1
fortement,1
fort,1
disparaître,1
