,0
métropole,85
politique,51
social,51
loi,34
public,32
collectivité,32
logement,27
action,27
attribution,26
territorial,24
logique,24
nouveau,23
agir,22
département,21
compétence,18
concerner,18
développement,17
aide,16
droit,16
territoire,16
économique,15
système,15
niveau,15
activité,15
forme,15
constituer,15
espace,15
ensemble,15
urbain,15
pouvoir,15
2014,14
local,14
commune,14
métropolisation,14
établissement,13
métropolitain,13
bien,13
etat,13
ville,13
phénomène,12
œuvre,12
insertion,12
transfert,12
modèle,11
accès,11
prendre,11
domaine,11
2010,11
part,11
intégration,11
dispositif,11
rapport,10
commun,10
imposer,10
administratif,10
départemental,10
janvier,10
mise,10
coopération,10
communal,10
27,10
structure,10
processus,9
mettre,9
région,9
champ,9
créer,9
lyon,9
confier,9
nature,9
personne,9
fonctionnel,8
aménagement,8
situer,8
pôle,8
réforme,8
maîtriser,8
extérieur,8
centre,8
conception,8
entendre,8
2011,8
compte,8
culturel,8
grand,8
effet,8
intercommunal,8
sectoriel,7
faire,7
il,7
dernier,7
hébergement,7
service,7
maptam,7
disposer,7
statut,7
fort,7
particulier,7
délégation,7
ajda,7
politico,7
prévention,7
acteur,7
substance,7
finalement,6
population,6
urbanisme,6
16,6
être,6
procéder,6
problème,6
délinquance,6
capacité,6
ensembl,6
jeune,6
repose,6
cadre,6
savoir,6
matière,6
formation,6
membre,6
affirmation,6
décembre,6
non,6
place,6
sens,6
plan,6
administration,6
essentiellement,6
potentiel,6
permettre,6
point,6
volet,5
terme,5
entrer,5
flux,5
dimension,5
traditionnel,5
existant,5
fortement,5
habitant,5
texte,5
doute,5
entité,5
global,5
dynamique,5
loin,5
vision,5
art,5
connexion,5
adaptation,5
partie,5
nécessité,5
institution,5
mutation,5
principe,5
vouloir,5
socio,5
plein,5
structurer,5
institutionnel,5
large,5
intégrer,5
demande,5
relever,5
lier,5
côté,5
âgé,4
vue,4
complexe,4
défavoriser,4
échelon,4
compromis,4
communauté,4
décentraliser,4
difficulté,4
contrôle,4
connecter,4
considérer,4
contemporain,4
contraire,4
convention,4
voir,4
convier,4
création,4
volonté,4
davantage,4
question,4
ingénierie,4
usage,4
régional,4
secteur,4
notion,4
second,4
novation,4
organisation,4
partiel,4
répartition,4
régler,4
potentiellement,4
simplement,4
pourtant,4
rien,4
ressource,4
requérir,4
relier,4
prise,4
programme,4
provenance,4
montage,4
solidarité,4
emploi,4
fondamentalement,4
travers,4
transférer,4
européen,4
falloir,4
titre,4
fois,4
fonction,4
fonctionnement,4
france,4
spécialiser,4
habitat,4
hérité,4
instituer,4
instrument,4
interaction,4
intercommunalité,4
intervention,4
lafore,4
mode,4
000,4
assurer,4
caractère,4
agglomération,4
cohérent,4
bloc,3
exclusion,3
exercer,3
expérience,3
soin,3
faible,3
24,3
intituler,3
souci,3
base,3
sein,3
balladur,3
réseau,3
général,3
hériter,3
importance,3
représentant,3
simple,3
stratégique,3
essence,3
découpage,3
transversal,3
donne,3
doter,3
double,3
cgct,3
dysfonctionnel,3
déconcentrer,3
territoir,3
2012,3
terrain,3
tension,3
déléguer,3
cas,3
dépendre,3
2009,3
supposer,3
reprendre,3
renforcer,3
choix,3
affecter,3
novateur,3
adjacent,3
potentialité,3
numéro,3
portée,3
obligatoire,3
polarisation,3
affirmer,3
ancien,3
organique,3
ailleurs,3
paraître,3
ajouter,3
partir,3
parvenir,3
passer,3
nice,3
principalement,3
inévitable,3
là,3
relatif,3
jusqu,3
largement,3
limite,3
liste,3
lutte,3
approche,3
législatif,3
accueil,3
légitimité,3
protection,3
projet,3
mondial,3
antérieurement,3
profit,3
année,3
charge,3
réticulaire,3
coordination,3
12,3
consister,3
14,3
concurrence,3
conséquence,3
comprendre,3
égard,3
contre,3
éducation,3
économie,3
comité,3
élément,3
constat,3
établir,3
éducatif,3
31,2
résumer,2
apparaître,2
constitution,2
projeter,2
constitutif,2
fond,2
mineur,2
fondement,2
mars,2
milieu,2
marseille,2
français,2
azur,2
franç,2
avenir,2
réunir,2
propre,2
fluide,2
appeler,2
conduire,2
révéler,2
rôle,2
maîtrise,2
application,2
3641,2
penser,2
mobiliser,2
absorber,2
exister,2
solution,2
véritablement,2
procédure,2
motif,2
mouvement,2
proche,2
significatif,2
21,2
spécialiste,2
contexte,2
multiplication,2
esquisser,2
spécificité,2
professionnel,2
22,2
commandent,2
recherche,2
23,2
fait,2
bon,2
famille,2
faute,2
25,2
modifier,2
26,2
modernisation,2
apercevoir,2
marginal,2
financement,2
signification,2
gestion,2
manifeste,2
marge,2
revêtir,2
revanche,2
retrouver,2
indéniablement,2
attributier,2
innovation,2
logemer,2
inscrire,2
5217,2
attractiviter,2
institutionnalisation,2
connaître,2
repérer,2
interdépendance,2
périphérie,2
lieu,2
intervenir,2
assumer,2
laisse,2
aspect,2
la,2
intérêt,2
invalide,2
radicalement,2
raison,2
inédit,2
édition,2
regrouper,2
conseil,2
redistribution,2
apprécier,2
lointain,2
réquisition,2
risque,2
république,2
400,2
statutairement,2
générer,2
majorité,2
gérer,2
auto,2
préjudice,2
réhabilitation,2
régulation,2
main,2
présenter,2
hiérarchie,2
hlm,2
élire,2
13,2
réel,2
ici,2
identique,2
idé,2
réalité,2
élection,2
impact,2
prévenir,2
implicite,2
important,2
au,2
impulser,2
rupture,2
epci,2
extrêmement,2
prober,2
catégorie,2
dire,2
20,2
décentralisation,2
advenir,2
dir,2
tiers,2
chef,2
obéir,2
décloisonner,2
difficulter,2
universitaire,2
tertiaire,2
obligatoirement,2
négocier,2
censé,2
18,2
2008,2
tenter,2
tenir,2
descendant,2
temps,2
cause,2
équipement,2
on,2
décalage,2
débat,2
distinction,2
organisme,2
évidence,2
doc,2
19,2
doctrine,2
changement,2
organisationnelle,2
dominer,2
agrément,2
donner,2
transformer,2
direction,2
dorénavant,2
placer,2
converger,2
cloisonnement,2
douteux,2
traire,2
opérer,2
type,2
dynamisme,2
disparate,2
taille,2
transport,2
concept,2
développer,2
effacement,2
dalo,2
17,2
cohésion,2
superposition,2
aix,2
11,2
national,2
métropolitaine,2
succès,2
substituer,2
enfance,2
clause,2
accord,2
enjeu,2
commandement,2
2013,2
2015,2
ensuite,2
vertical,2
méthode,2
15,2
percevoir,2
ed,2
côte,2
delà,2
adapter,2
coué,2
susciter,2
paris,2
équilibre,2
no,2
aliénation,2
859,1
prévoir,1
phare,1
préétablir,1
physique,1
abandonner,1
élaboration,1
qualifié,1
80,1
quantitatif,1
île,1
rattacher,1
rayonnement,1
rattaché,1
évolution,1
perplexe,1
quartier,1
permanent,1
78,1
périmètre,1
puissance,1
peser,1
quintessence,1
peut,1
puissant,1
performatif,1
purement,1
puf,1
qualité,1
évoquer,1
péri,1
perdurer,1
perturbateur,1
9èm,1
prêt,1
perte,1
ranger,1
rapidement,1
aire,1
air,1
préfigurer,1
préventif,1
primer,1
poursuivre,1
adaptabilité,1
pousser,1
poussée,1
acronyme,1
premier,1
projection,1
progressivemer,1
prenant,1
progressivement,1
programmer,1
acquérir,1
presque,1
absorb,1
équilibré,1
émaner,1
émerger,1
épreuve,1
époque,1
produire,1
printemps,1
procédural,1
priver,1
probable,1
émiettement,1
accompagnement,1
problématique,1
probablement,1
potentielle,1
équipe,1
élaborer,1
adoption,1
pinson,1
président,1
étage,1
élu,1
préserver,1
présente,1
plupart,1
présent,1
poids,1
accompagner,1
1128,1
précédent,1
précaution,1
proximité,1
possibilité,1
administr,1
providence,1
provence,1
aboutir,1
ériger,1
porter,1
porteur,1
portier,1
équiper,1
prospective,1
pose,1
proposer,1
prophétie,1
rds,1
vigueur,1
recours,1
systémique,1
suppression,1
supérieur,1
surle,1
surplomber,1
surveiller,1
synergie,1
179,1
volontarisme,1
systématique,1
ségrégatif,1
2007,1
ségrégation,1
sémantique,1
volontariat,1
séparent,1
série,1
tardivement7,1
technique,1
volontairement,1
tempérer,1
voyage,1
super,1
suivre,1
suivi,1
songe,1
sorte,1
véritable,1
soumettre,1
sous,1
soutenir,1
spécialité,1
spécifiquement,1
stabilisation,1
2040,1
steckel,1
strasbourg,1
strict,1
structuration,1
subordination,1
subordonner,1
vraiment,1
substantiellement,1
suffisamment,1
voit,1
2005,1
redistribuer,1
1950,1
1995,1
tōkyō,1
ultérieur,1
1980,1
urbain4,1
urbaine,1
urbanisation,1
1960,1
urgence,1
utile,1
voirie,1
valeur,1
valoriser,1
variante,1
veille,1
veltz,1
venir,1
verpeau,1
versant,1
vie,1
travailleur,1
transnational,1
transitoire,1
1996,1
territoriale,1
territoriales,1
186,1
2000,1
tiendra,1
tient,1
tirer,1
tissu,1
total,1
toucher,1
toulouse,1
voie,1
1999,1
traiter,1
19967,1
1876,1
transformation,1
vingtaine,1
transférable,1
york,1
zone,1
solidaire,1
retraire,1
représenter,1
54,1
requête,1
responsabilité,1
responsable,1
ressenti,1
rester,1
restreindre,1
retenir,1
revenir,1
sol,1
rever,1
500,1
robert,1
rouen,1
rsa,1
rural,1
réalisation,1
réalisatrice,1
vieux,1
représentation,1
écheveau,1
reproductibilité,1
écologique,1
redonner,1
refondation,1
regard,1
regards,1
relation,1
74,1
650,1
remarque,1
remettre,1
remis,1
remonter,1
remédier,1
rendre,1
rennes,1
renouer,1
renouveler,1
renverse,1
65,1
reposer,1
réapparaître,1
45,1
4433,1
387,1
scinder,1
scolaire,1
3211,1
segment,1
échapper,1
semaine,1
29,1
sensiblement,1
28,1
similarité,1
échange,1
écart,1
singulier,1
situation,1
soc,1
socialesi,1
sociau,1
socle,1
âge,1
schéma,1
satisfaire,1
4221,1
sassen,1
réglementaire,1
réglementation,1
41,1
réinscrire,1
réparateur,1
répartie,1
répartir,1
répartit,1
réponse,1
républicain,1
échelle,1
réserve,1
résidence,1
résidentiel,1
résorption,1
résultat,1
rétablir,1
pensable,1
réviser,1
réaliser,1
commander,1
pdi,1
décevoir,1
dérogatoire,1
détailler,1
détermination,1
déterminer,1
caractéristique,1
effectivement,1
efficacement,1
efficienc,1
emblé,1
empire,1
capter,1
empêcher,1
encadrer,1
encastrer,1
enchevêtrer,1
enclencher,1
enfermer,1
engager,1
enseigne,1
cantonnant,1
byzantin,1
enserrer,1
entendon,1
dépendant,1
dépendance,1
dépasser,1
délice,1
décideur,1
décision,1
décisiver,1
décloisonnée,1
décortique,1
découle,1
décret,1
défaut,1
définie,1
définition,1
délimiter,1
départementaliste,1
délimité,1
ce,1
délinquant,1
délivrance,1
démunir,1
dénomination,1
dénommer,1
dénote,1
dénuer,1
départementale,1
bureaucratique,1
brouillage,1
entraînement,1
basculer,1
fil,1
file,1
fillon,1
finaliter,1
finalité,1
financier,1
fiscalité,1
fixe,1
besoin,1
bassand,1
balladur9,1
faveur,1
fonds,1
force,1
forcément,1
avoir,1
formel,1
avancer,1
fortune,1
fouiller,1
fournir,1
autonomisation,1
figurer,1
faux,1
brest,1
etudes,1
entretien,1
entrevoir,1
bref,1
esprit,1
espèce,1
essayer,1
essentiel,1
braconnier,1
est,1
bousculer,1
bottini,1
faur,1
exception,1
exclure,1
borgetto,1
extension,1
externe,1
bordeaux,1
exécutoire,1
facultatif,1
bonnemaison,1
fantôme,1
décider,1
centr,1
pays,1
décent,1
code,1
consensu,1
consensuel,1
consentir,1
conservatoire,1
clésla,1
consistance,1
consolider,1
constatation,1
clore,1
constitutionnel,1
construction,1
construire,1
cloisonnée,1
contenir,1
content,1
contenter,1
contenu,1
continuité,1
contournement,1
contournemer,1
contourner,1
contractuel,1
cohérence,1
conglomérat,1
conférer,1
concentration,1
commandemer,1
communes,1
complet,1
commandant,1
complexité,1
comporter,1
coloniaux,1
compter,1
collectif,1
compétitivité,1
concentrer,1
conférence,1
concentrique,1
coll,1
concession,1
concevoir,1
concourir,1
concrétisation,1
concrétiser,1
conditionner,1
confère,1
confédération,1
contraindre,1
contrainte,1
cloisonné,1
dizaine,1
destiner,1
devancier,1
chercher,1
différemment,1
disparition,1
disperser,1
chatelier,1
distingue,1
distinguer,1
distribuer,1
docteur,1
descendre,1
domination,1
donnée,1
doser,1
douter,1
cerner,1
durable,1
cercle,1
déboucher,1
décaler,1
central,1
deschamps,1
descarte,1
contrepartie,1
critère,1
contreproductif,1
cloisonner,1
contrôler,1
convaincant,1
conventionnel,1
cloisonn,1
clivage,1
crise,1
crise28,1
critique,1
croiser,1
choisir,1
croissance,1
classique,1
culture,1
clarification,1
cursif,1
clairement,1
daucé,1
cie,1
de,1
demander,1
fsl,1
fusion,1
future,1
futuribles,1
massif,1
maître,1
appartenir,1
mesure,1
apparition,1
minimal,1
mission,1
moderne,1
moderniser,1
août,1
monde,1
mondialisation,1
montchrestien,1
montpellier,1
moral,1
mort,1
moyen,1
moyenne,1
multiple,1
multiplicité,1
antérieur,1
mèr,1
mécanisme,1
marque,1
maritimes3,1
marginalisation,1
long,1
limiter,1
articulation,1
local10,1
localiser,1
arrimer,1
archipel,1
apte,1
loiaprès,1
loin29,1
londres,1
luxe,1
apprivoiser,1
lyonnais,1
législateur,1
lémanique,1
magistrat,1
maintenir,1
maintien,1
maire,1
maitriser,1
manquer,1
mapam,1
métapolis,1
annonciatrice,1
métropolisation3,1
originaire,1
office,1
offrir,1
opaque,1
opportun,1
ordonner,1
organis,1
aller,1
organisationnel,1
organise,1
organiser,1
origine,1
occurrence,1
originel,1
ornement,1
outiller,1
ouvrir,1
page1,1
parc,1
parisien,1
partage,1
participer,1
ajout,1
odile,1
obliger,1
métropolisés,1
notable,1
anha,1
métropolitainer,1
nante,1
naturellement,1
naître,1
neuf,1
new,1
analyse,1
an,1
not,1
note,1
obligation,1
améliorer,1
amélioration,1
ambition,1
noyau,1
nuancer,1
nécessaire,1
alpes,1
nécessitési,1
négatif,1
négrier,1
lille,1
articuler,1
lien,1
incarne,1
héritage,1
auprès,1
identité,1
aucun,1
immobilier,1
implication,1
improbable,1
impulsion,1
impératif,1
impérieux,1
inchanger,1
horizon,1
inchangé,1
inclure,1
inclus,1
inclusion,1
incomplétude,1
indiqué,1
indéniable,1
influence,1
inform,1
initial,1
auteur,1
historique,1
attributaire,1
autonome,1
fâcher,1
février,1
garantie,1
genève,1
georg,1
giron,1
autonomie,1
globalisée6,1
gouvernement,1
grale,1
grenobl,1
heure,1
guèr,1
guère,1
gué,1
géographique,1
automatique,1
handicap,1
harmattan,1
hasardeux,1
haut,1
haute,1
insalubre,1
attractivité,1
leroy,1
juillet,1
jacob,1
jacobin,1
assistanciell,1
jeu,1
assigner,1
joue,1
jouer,1
jouxter,1
joye,1
jugement,1
juridique,1
inéluctablement,1
jusque,1
justement,1
justice,1
justifient,1
justifier,1
juxtaposer,1
ascher,1
lecture,1
lent,1
leresche,1
issue,1
inéluctable8,1
attraction,1
interrelatier,1
atteinte,1
intention,1
attali,1
attacher,1
attache,1
interdépendanc,1
interdépendant,1
interfac,1
international,1
interne,1
interrogation,1
inéluctable,1
interroger,1
interrégional,1
interventier,1
10,1
intitulé,1
assouère,1
intégré,1
intérieur,1
invention,1
inverse,1
monter,1
