,0
eau,8.884590091531768
bio,3.72343618017891
pourcent,3.702575358070269
climatique,3.1182926510121485
changement,2.8624322452239266
écologique,2.717090828683223
transition,2.7061195179250888
consommation,2.61750643828105
exemple,2.586120948917884
économie,2.3521932638472065
agriculture,2.2738411557030633
bien,2.2522098676531064
nature,2.216573099276899
public,2.136099669777034
biodiversité,2.1312640976429984
année,2.1291311325839963
être,2.1236678930815134
français,1.9612115435677806
ville,1.9452797036437874
inégalité,1.9243900623384937
falloir,1.8863076393553884
alimentaire,1.8491573299937427
produit,1.8486808736173441
système,1.808973312885339
coût,1.7819751198377318
question,1.7514330202689141
santé,1.7330461832533355
énergie,1.7027129550476312
matière,1.6911190485452678
vie,1.6659388967927848
hui,1.6438887826133681
aujourd,1.642007859983699
environnemental,1.6398960880319244
sujet,1.6210650387938428
faire,1.619121590148035
politique,1.6184135744023544
France,1.6112219045296676
potable,1.6013014335158005
effet,1.58909229017718
biologique,1.5596144675155112
indicateur,1.5121506111579714
territoire,1.5098512720090282
social,1.4759813446077763
rapport,1.4705643336773455
il,1.4244430956537864
baisse,1.4207244757119457
durable,1.410676937128841
environnement,1.4011336096539373
élément,1.3916471746242227
climat,1.3798003699906465
pays,1.3761676063230577
chiffre,1.3721803791033593
2020,1.3282870899411088
grand,1.3277269580356053
résilience,1.3222818504875073
économique,1.2914174213234935
ressource,1.290478839917869
cycle,1.2810003073682985
écosystème,1.2677421647839304
Rapports,1.256054602788915
pollution,1.248777198019084
comportement,1.2454319846301587
population,1.2423661069241112
réduire,1.2413260894245206
2021,1.2405155358261981
important,1.2388072205783462
émission,1.2351575433739415
développement,1.2230558717867983
alimentation,1.2220029622752329
projet,1.2173626805085112
prix,1.2170003855596327
croissance,1.214579147278677
circulaire,1.1746333630848502
démarche,1.1731294694015273
action,1.1705384024333114
objectif,1.1685333932921185
numéro,1.1680092606850225
pouvoir,1.1644049292906
espèce,1.1580307499140077
évaluation,1.1431914960099736
davantage,1.142993506248311
point,1.1322473638767276
sol,1.1274003697111097
valeur,1.1156627887852324
société,1.1113349563057457
énergétique,1.1088966375161806
agricole,1.1014517508481751
production,1.0860449038023334
étude,1.0751856491941636
sentiment,1.0653547416099844
citoyen,1.0632147859209498
constater,1.057923159063266
milieu,1.0563275447694283
cas,1.0477745430112555
cours,1.047593842253031
humain,1.0472494562713042
niveau,1.0455584854299333
empreinte,1.0312580031053578
permettre,1.0312444618755534
écologie,1.0312098990810843
mode,1.0273287876760175
terre,1.0208081855510318
impact,1.01945800773727
consister,1.0165287268771541
concept,1.0032832649042382
dernier,1.0013350871109827
qualité,0.9957933576607128
