,0
temporaire,2.2607528687139835
temps,1.6035654680190423
sans,1.5673902504122488
occupation,1.5371604199600855
espace,1.4219026159232084
temporel,1.4081751330653351
urbanisme,1.359531964944213
abri,1.339406525706064
rue,1.323339061402749
rythme,1.1937349892689884
public,1.165517892998771
vie,1.0796152215660941
quotidien,1.0569886762462377
mode,1.0096790050096165
bâtiment,0.9113488881081019
aménagement,0.8999305097433783
pratique,0.8815352096716353
ville,0.8415270088653587
projet,0.7661237598003584
fiche,0.7526059541494345
transitoire,0.736215175260353
mobilité,0.7347288645661636
personne,0.6464374169384306
usage,0.596615644504905
besoin,0.5753805413315171
Rue,0.5722578155344322
comportement,0.5689403896146974
urbain,0.5428200208488231
acteur,0.5228019777106798
politique,0.5217414543983042
organisation,0.5171723706399489
individu,0.5043793868093673
notion,0.45893168990471606
société,0.45669839126671596
élément,0.44827399845424415
vacant,0.4474748276140265
physique,0.4437529285650513
métrique,0.44175478616134783
exemple,0.43895064463152217
social,0.4363848301019696
travail,0.4343335892954946
lieu,0.43042271368326945
recension,0.4210067710305596
imbriquer,0.40642696888775504
etc,0.4012840605723825
socioéconomique,0.39098174722368484
Benjamin,0.3890896640755377
étude,0.38736218954411444
service,0.38548317358103024
circulaire,0.3816951178146683
incarner,0.37997821379222835
comprendre,0.376682693965296
enjeu,0.37367208929612805
collectivité,0.3717161860395244
question,0.37029622186313566
culturelle,0.36751816300809387
activité,0.36711785458700696
partage,0.3557025130246547
consommeje,0.3521642466456349
émerge,0.34922540111823674
ralentissement,0.3458149713424804
soutenable,0.3412147876981143
accompagner,0.33909947896354437
faire,0.3388714095116085
entrée,0.33731161563114415
vitesse,0.33688032952693336
être,0.3301884924787966
compil,0.3295492452626991
exhaustif,0.32646766217603373
accélération,0.3232419838571912
usager,0.3220425080284689
rythmique,0.3217268721676852
Téléchargez,0.31881232450814545
numérique,0.3185439836622986
diversification,0.3184955180088327
collectif,0.3154531380618666
horaire,0.31409192339696795
nouveau,0.31090130900861523
Découvrez,0.3061882343212523
utiliser,0.30413307875380363
grille,0.3030351679912449
déchet,0.2991274216052948
guichet,0.29637056764917974
crise,0.2957547279884053
liste,0.2939876443442795
terme,0.2936721629778662
intégrer,0.2933456401722251
radicalement,0.29082493331464815
statistique,0.290726083881387
relier,0.2905631415709825
écologique,0.2901964547444815
2021,0.2889184160342183
solution,0.28512398920868304
appréhender,0.28511953106127824
incitation,0.28446267889615057
pradelje,0.2836481068700158
infrastructure,0.2822840171016498
il,0.2817315084659228
rapport,0.27937917257018097
somme,0.2776407623950686
prendre,0.2763227303660937
sujet,0.27487430170110283
norme,0.27172443739024665
rencontr,0.27025110047258466
construire,0.2701890847347999
cadre,0.2701500226193858
complexité,0.2693466123213392
manière,0.26551755958115875
on,0.26368159975170313
contexte,0.2621938952448967
organiser,0.26216486560684543
intéresser,0.26043757846399623
action,0.26025134651359183
réflexion,0.259835157678764
immobilier,0.25909214289288723
disposition,0.25885307268604607
dispositif,0.256864005601535
local,0.2561458508896735
compte,0.254833846598992
gestion,0.2542709009907618
cohabitation,0.25137058780072974
initiative,0.250661671433931
place,0.2505150540329553
analyse,0.24806092747565187
porter,0.24610061331539107
Paris,0.24522703821928762
économie,0.24439872499578844
permettre,0.24418289574285387
invisibilisation,0.24196391271849776
synchronisation,0.2414778470569285
revendication,0.24107317105428905
vide,0.239249496639838
synthétique,0.23856785466484248
durabilité,0.23709542398172667
tactique,0.23502775925121025
long,0.23236178090976373
repère,0.23164343908530893
expliquer,0.23062833342037267
vacance,0.2290773979036518
falloir,0.22857558129691768
matière,0.2276046746034907
hébergement,0.22640216786111106
cours,0.2259654219984063
année,0.2254773446243879
penser,0.2249297009267698
structure,0.22487114092135105
occupant,0.22479202896945988
moyen,0.22417888713590162
déplacer,0.2238147850774923
échelle,0.22350108575484315
professionnel,0.2233778329272515
multiplier,0.22266905346116375
changer,0.2214716021188151
proposer,0.22134601648848662
sécurité,0.22052490866450558
non,0.22030276159506795
approche,0.21957413090552932
travailler,0.21689886301042288
vision,0.21679304907691538
priver,0.216739155242684
grand,0.216446445914704
habiter,0.21571826121389198
réorganisation,0.2156738465563899
outil,0.21494952926861777
inscrire,0.21490361882294953
réguler,0.213468190490196
pouvoir,0.21323359515677495
cahier,0.21211979388571892
conception,0.21137190886650709
Bruxelles,0.21015931071434024
contraindre,0.210071075376642
matériau,0.2088695272399144
bien,0.2085737941841766
difficulté,0.2082689490936653
forme,0.20777151947177094
condition,0.20756611230181807
demain,0.20701704505961493
partager,0.20569063202341595
expérimentation,0.2053042316492019
produire,0.20422858613437286
voiture,0.20404864527319025
existant,0.20387643324033997
femme,0.203342612738087
rencontrer,0.2031872559338944
développement,0.20296265430784774
face,0.20114957196406824
