,0
musulman,0.47812951729052783
voile,0.3770296352503787
entretenon,0.2803562711298482
rideau,0.24101898396827426
malentendu,0.2204172987113361
chaos,0.218246552778441
islam,0.18672412741035335
modernité,0.15739775139968026
espace,0.15114397243707317
spectacle,0.1491775304636154
13,0.14709690877121115
donner,0.14265699829626208
séparer,0.14224352054944236
religion,0.14174272438818822
énorme,0.13910695449267108
janvier,0.13435457153348945
peur,0.13335711589783605
nous,0.13015967625523034
2004,0.12874840622424483
question,0.11701718235452735
conférence,0.11292799165846548
fond,0.11140408755585646
occasion,0.1081467209673067
texte,0.10588451561854618
priver,0.0921668124102265
poser,0.08637252149206141
problème,0.08236764302275155
ce,0.08052154646518732
part,0.07468210156045609
dernier,0.074643908125535
France,0.0685831175733796
hui,0.06012568585898254
aujourd,0.060049420991293324
place,0.06002403542352065
public,0.05401122067251669
