,0
mondialis,0.416006811052237
riche,0.3746628006986591
solidarité,0.33863988789551
globalemer,0.24747462439674006
pauvreté,0.2356591603989405
peine,0.2070049533713515
novembre,0.20471218904365343
société,0.2004442650048383
2003,0.20040913275217181
inégalité,0.1784903077232136
conférence,0.17382713004813458
majeur,0.15423624159035385
mondial,0.15339283038458765
réduire,0.14754333636792658
intéresser,0.14665378765963966
voire,0.14463546638835648
lui,0.13800598860983343
échelle,0.13091750666828475
sein,0.13048476128665537
exister,0.1300555849797311
donner,0.1143954281546147
il,0.10567805136882333
enjeu,0.10501345316224932
devenir,0.10494745780496144
