,0
immigré,0.37258256705886195
intégration,0.3229165986250218
Italie,0.23783063670744026
loi,0.20573613322351544
régler,0.16790395157913607
Bossi,0.13994669898070036
enrico,0.13994669898070036
Fini,0.13994669898070036
Allasino,0.13994669898070036
Piémont,0.1328487850464487
santer,0.12781273496505632
40,0.12758486257879462
administration,0.12539594864209247
politique,0.11744351796000634
étranger,0.11678624655870583
gardiste,0.11567877094941226
estomper,0.11010404422121818
interculturel,0.10858085701516058
afflux,0.10858085701516058
protestation,0.10467459309617248
aléatoire,0.10148294308090892
nb,0.10148294308090892
avère,0.10053646340715562
spontaner,0.10053646340715562
Economique,0.10053646340715562
En,0.09438502914665725
apparent,0.09141084291812414
problème,0.09097643977955315
migrant,0.08984212744268001
italien,0.08934897906526486
abriter,0.08886934331662692
soigner,0.08840249939151157
séjour,0.08707231976036692
guichet,0.08707231976036692
avant,0.08623856172343154
strictement,0.08583611618993006
législation,0.08505796098336812
élargissement,0.08505796098336812
Turin,0.08431292898387246
sérieux,0.08070088391850921
ethnique,0.07927687890248009
demeurer,0.07847495504364244
couvrir,0.0772150150496208
citoyenneté,0.07603970061782998
coordonner,0.0733087511306327
permanence,0.07311531701097217
1998,0.07292399696772407
constitution,0.07146435106450387
immigration,0.0706102494927843
action,0.0706096626113964
confier,0.06917062144161583
comité,0.0684191923619424
permettre,0.06812616368540748
sanitaire,0.06673736138888578
bureau,0.06647211980376742
juillet,0.06569968819042687
mars,0.0655741994113919
doter,0.06495990446250755
Institut,0.06472009783967231
regrouper,0.06413457136022345
année,0.06392444463115703
2002,0.06390573660218593
juridique,0.06390573660218593
conflit,0.06323665096784792
obliger,0.06238254939612833
contrat,0.06227865823237633
orienter,0.06207270750736417
etat,0.06041355371710221
1990,0.060136414265854726
statut,0.059773590714188425
présente,0.05889812781009069
dépendre,0.05864380455178414
essayer,0.05806436977315532
30,0.057741676585848715
intervenir,0.05650728979811411
établir,0.056432955887221095
000,0.05535424036356641
affaire,0.05528463546187666
mal,0.05223247311460815
large,0.05148987261865299
chercheur,0.05137837154288856
reconnaître,0.0507238799983593
global,0.05056401030540218
texte,0.05014469421673227
difficile,0.04818672152762499
principe,0.048140471541113936
priver,0.04791103693694029
droit,0.047196423033215765
engager,0.046217725848598866
information,0.046176390269270846
gestion,0.045849173084081006
centre,0.04463600867060045
vouloir,0.04396834093464287
culture,0.04367958206225842
citoyen,0.043046780282480594
collectivité,0.04233631020874623
système,0.04233631020874623
général,0.04217131737838286
lier,0.042105753220424307
national,0.04178156599797882
modèle,0.04143176015913877
face,0.04133755934144749
bon,0.04081312300268862
partir,0.04024500041166617
donner,0.038483174129358075
dernier,0.03837707920029672
voir,0.037959014920606125
local,0.0375507023060055
cadre,0.03695555343974842
non,0.035573121763343
travail,0.032332725239928126
place,0.031403005366125857
nouveau,0.029455932807950894
social,0.029455932807950894
être,0.028452692572339032
