,0
cdd,0.3326529442801624
engagement,0.32110689796524844
engagemer,0.3150534921314019
rencontre,0.3044884515120425
commander,0.24918038331965434
lien,0.2333903130347189
pluralité,0.2250245498011463
2014,0.1967338741472377
trajectoire,0.1932697774615695
mai,0.18925593036238533
alimenter,0.1834441486962015
réfléchir,0.17326286671718197
lumière,0.1684839947860543
article,0.15028094962775407
diversité,0.14641221735733842
initiative,0.14207837652139313
interroger,0.1390608268945907
association,0.12957905396842115
construire,0.12486569781638697
agglomération,0.12153111767368183
citoyen,0.12133608535162531
lyonnais,0.11452873687683846
manière,0.11022825998947779
objectif,0.10847263535437113
forme,0.10577322589002318
action,0.09951383115118491
mettre,0.08541259955753026
être,0.0801996876836323
public,0.07653391002127595
