,0
berge,0.37158083219245414
Brocard,0.3131875254246635
patrimoine,0.26547478543014513
affluent,0.24835582474721693
eau,0.22492084035754312
naturel,0.22492084035754312
Département,0.19925959733189777
inondation,0.19650923702607176
cours,0.18038636432126184
Gilles,0.1758640403014203
Saône,0.15532315947837905
local,0.15107442794920595
original,0.14356789133378609
appartenir,0.13477520570469237
implication,0.13159721936695476
juridique,0.13127763700994788
riche,0.12911273926819639
social,0.12691293870014686
statut,0.12458336886565666
Lyon,0.11737413502144532
former,0.11507036753956663
titre,0.11093901423557977
importance,0.10789498392463262
intervenir,0.10721281179195544
grand,0.10657169201977663
sommaire,0.10580259285170583
entretien,0.10515663122086989
ancien,0.10428597749574536
Rhône,0.10305412642684358
objet,0.09608256392940633
gestion,0.09429620765944535
expliquer,0.09328676306710336
poser,0.09173664347571363
problème,0.08748304404436663
intérêt,0.08738256822189082
collectivité,0.08605150290658399
domaine,0.08571388428235666
niveau,0.07989270248681743
fort,0.07796468279809433
an,0.07495380730149533
territoire,0.07488150675370055
action,0.07349844245700779
projet,0.07010242743438519
public,0.05736556035333713
