,0
chaleur,0.6016915810471459
Anissa,0.5762602007839923
malou,0.5719842825547938
banc,0.4695843514949254
Allagnat,0.45352613123319896
quartier,0.34253811800124156
Malou,0.30835332636770196
ville,0.3012802331528993
habitant,0.29712292452446465
Angela,0.2730108876009108
ventilateur,0.26892142703252975
populaire,0.26204247256331015
feutre,0.26156856090922337
climatisation,0.2596286162014376
politique,0.25509648601969237
chaud,0.2498640777718804
métropole,0.2415279584450321
2020,0.24047954383604397
Priest,0.233422389323029
angela,0.2312649947757765
chine,0.21931250910127154
petit,0.21714152310575485
ici,0.19430881708888348
logement,0.19266897741350877
Alexa,0.18320206945570278
appartement,0.17895027253200413
soleil,0.1770375133585644
ombre,0.17450404812028397
bruit,0.17054906050843574
17h,0.16731768393923138
hein,0.15802591406509733
estival,0.15693472517087154
période,0.15485327583260344
social,0.15370477847870542
Saint,0.14826344144553955
2010,0.14771700585489853
dessin,0.14533564311683742
chien,0.1443796211940481
urbain,0.14192216910531516
être,0.1414700027941285
encr,0.14102903888530205
nouveau,0.14048274536382302
terrain,0.13996327780932655
exclame,0.1374015520917771
Édite,0.1374015520917771
alexa,0.1374015520917771
ben,0.1357510941522792
air,0.1340342366512719
ANRU,0.1330300496560747
encre,0.13262420048472678
voir,0.1325266776446784
mettre,0.1311516867488076
télé,0.1304352829385145
monique,0.13043272468617656
moment,0.13039724857092516
ombr,0.1294045570107592
fort,0.12902082822628283
film,0.12641859365178978
moustique,0.12548826295442353
prendre,0.12430530469323298
renouvellement,0.12327009027902319
discussion,0.12240428047130811
Claudia,0.12165304047859297
2015,0.12116667566998424
an,0.11907270562768886
faire,0.11883236475455516
audiovisuel,0.116648612371857
Bah,0.11392139170158153
rénover,0.11345799102924571
inégalité,0.11179065243164867
rentrer,0.11177142183763633
adorer,0.11155060814322248
Bel,0.10975076700163491
là,0.10939226020020179
allumer,0.10687949522115989
été,0.10610836027579301
matin,0.10464655587676314
machin,0.10390775418084587
venir,0.10231406368132386
beaucoup,0.10212911103662242
asseoir,0.10182865755683244
montage,0.10011216751838294
rénovation,0.09873964342769909
habitude,0.09854995712704508
bon,0.09852115866920916
oui,0.09849010515008902
passer,0.09841999285616347
thèse,0.09746818132192789
tour,0.09658661638159433
bien,0.09647311237092561
Air,0.09530585884299304
jeunesse,0.09372804057017754
prioritaire,0.09327914809777024
mieux,0.09287254347030302
arriver,0.09253116158471905
sujet,0.0924989423190583
parole,0.09197657903305512
voisin,0.09173906546884183
clap,0.09160103472785139
western,0.09160103472785139
crète,0.09160103472785139
édite,0.09160103472785139
entretien,0.09146694098500474
documentaire,0.09026058728274601
habitat,0.08978257664996003
habiller,0.08946246833866846
tourne,0.08886080742956436
assise,0.08886080742956436
confiance,0.08877975654122144
couleur,0.08812601812997871
rapport,0.08799941589744223
tablette,0.08792892686543602
inspir,0.08778256868272763
confort,0.08743715693852108
gosse,0.08695514979078438
CHRONOLOGIE,0.08685004322598085
Léonardi,0.08685004322598085
Fortes,0.08685004322598085
Golay,0.08685004322598085
Sevran,0.08685004322598085
podcast,0.08648853242648206
Énergie,0.08648853242648206
arrêter,0.08584217507498798
déranger,0.08569975561373687
action,0.08517720678136248
eau,0.08494036161158378
château,0.08445280823891368
proposer,0.08435222198706507
enfant,0.08396776034120892
18h,0.08365884196961569
