,0
transition,0.7404059327727575
inégalité,0.49689613805925453
écologique,0.37646030348426607
durable,0.36067428884261843
bagnole,0.35633579765587486
écologie,0.3561238708908915
sociotechnique,0.34266602195617124
synthèse,0.3311041576296776
il,0.3062730506060044
pollution,0.30113603182163273
environnemental,0.26858559540055593
matière,0.24619076596744377
piège,0.23263427503732995
public,0.22660235752546914
changement,0.21304612836359765
répandre,0.2110740654565228
insécurité,0.20864627703404073
occupation,0.20523140766051876
bruit,0.20468636832326711
rapport,0.1978440459624445
dépendance,0.19159388795979732
climatique,0.19009729606604248
pionnier,0.18921890177169168
développement,0.18865631713801884
agisse,0.18059411413161958
automobile,0.179218119112638
levier,0.17689915055975985
sphère,0.17593398881410066
biologique6,0.1722500906929385
voiturepropre,0.1722500906929385
1970,0.17025473070572272
essayer,0.16861192755042256
point,0.16651248919027622
égard,0.16107595575900333
accéder,0.1603215892020938
déterminer,0.15924308091515213
conceptuel,0.15870426748748206
question,0.1562827312329424
injustice,0.15587681084978616
politique,0.15510274122571155
susciter,0.15361738002472786
portant,0.15308479611930714
ell,0.15227554685565328
nous,0.15206480412252987
terre,0.15123229218810022
facile,0.14973102917820427
résilience,0.1491539309287935
gagner,0.14829626178624822
porter,0.1472451460970044
sommes,0.14604708493619348
enjeux,0.14142394909223166
mobilité,0.14012972866287857
littérature,0.1391299239813628
critique,0.13757946820495728
xxième,0.1365932863348292
progrè,0.13477334140550237
27Conclusion,0.13471512374502617
36bibliographie,0.13471512374502617
année,0.13384331840246272
prémunir,0.13241034316208009
comportement,0.1320952964353208
hui,0.13165580848408856
aujourd,0.13148881308651247
envisager,0.13100908161150923
fondement,0.13043362989928994
lutter,0.13021422156922113
naturel,0.12969667249368405
sortir,0.12911692841815262
mouvement,0.12877071457988312
décision,0.12860499680303641
154,0.12808238963951238
apparaître,0.12652115899064983
contre,0.12461181559985118
management,0.12427451087455743
est,0.12223632085236064
début,0.12068235134105317
cadre,0.11799874568929282
inégaliter,0.11721005579010253
social,0.11708233261875933
débat,0.11586626527289962
uns,0.11492220925700601
quelques,0.11425814802145937
empreinte,0.11331361787569198
choix,0.11284339875311136
système,0.11029859421407313
luxe,0.11012039074281627
essentiel,0.10998896662397145
action,0.10914570196496433
préoccupation,0.10887241813969319
panorama,0.10712726888017438
origine,0.10669074478459137
précaution,0.10577737006976279
nuisance,0.10459267727173183
environnement,0.10431401499497595
trop,0.1033287236496321
trancher,0.102930006093328
chose,0.10205876633968304
comprendre,0.10200198499644218
ressource,0.10177009992146124
énergie,0.1003489569586967
siècle,0.10005369038341948
dense,0.09911653704739301
science,0.0989835353374219
compatible,0.09880200221753169
mériter,0.09788581902682249
facteur,0.0978652063302559
humain,0.09735122322964754
Sommaire,0.09729659211806618
prime,0.09700808861953739
technique,0.09667467461738373
affronter,0.09644275225823956
problème,0.09622964548350946
espace,0.09605279696828586
exemple,0.0946082093122247
83,0.09406618810178927
économique,0.09358369644813667
sérieux,0.09239816293776777
21ème,0.09154453962690831
issu,0.09116070315678858
initiative,0.09088047300517059
Jusqu,0.09084810784370884
grave,0.09063575909569643
menace,0.09062569200961239
constateron,0.09029705706580979
biodiversité,0.08980728754950222
systématiquement,0.08960519735877326
32,0.08936018836139534
régler,0.08750225971267153
écologiste,0.08743345399627547
menacer,0.08696361607409671
inévitable,0.0861240885626848
coûter,0.08542622593472439
vaste,0.0849140698508543
potentielle,0.08269691337982102
neuf,0.08180578819183257
argument,0.0816677271491441
qualifier,0.08073042089259078
alimentation,0.08072600408428647
éclaircissement,0.08025021360212044
vie,0.07950820549387337
risque,0.07876870258167264
réduction,0.07874550489726272
frein,0.07813129754443479
résoudre,0.07656464889771979
considèr,0.07656089996659296
Pays,0.07655554879555268
qualité,0.07619466943173499
cher,0.07603240206126494
terme,0.07441943615568186
réellement,0.07422121783239115
témoigner,0.07365074141527686
faire,0.0732007692860232
constat,0.07238416404204812
saxon,0.07173311913240732
riche,0.07101074992819359
anglo,0.07088534730624488
oublier,0.07019994406888222
grosso,0.06977332719258646
solidarité,0.06923028051683046
émerger,0.0688898476910829
disponible,0.06881528015390254
potentiel,0.06829412828523605
modo,0.06820427085973556
élément,0.06813978490703623
protection,0.0680121172837978
dossier,0.06786934422414244
aussitôt,0.06683189584715606
introduction,0.06681102199465341
radical,0.06655541780851562
croissance,0.06590170646235571
aménité,0.0656123412819623
eau,0.06484833624684203
cours,0.06480004139601134
21,0.06475598630446006
oui,0.06440259302799234
paraître,0.06416286350368348
cler,0.06408820643907799
second,0.06349256592925592
externalité,0.06305082695144737
reléguer,0.06217318350659769
face,0.06199900612215194
mondial,0.06187118074413765
aménagement,0.061325252930095504
aboutir,0.06128850591425143
titre,0.06101537804723482
naissance,0.061015101191971816
identifier,0.0603097053148607
précédente,0.06024459694426287
inviter,0.05835204383181121
croisée,0.05830460664756072
majeur,0.058190396279491144
pensée,0.05812325219894626
entendre,0.058028191702243936
aborder,0.058012005671265535
progressivement,0.05782309084000911
participer,0.057501699323125606
effondrement,0.0574497825441541
perturbation,0.0574497825441541
vraiment,0.057270374437311984
réponse,0.056348069141473216
regard,0.05578163915271307
épuisement,0.05568152736245713
accès,0.055660390661883156
mutation,0.05534398682367221
chapitre,0.05522459918138734
on,0.055043642904763934
réalité,0.05497221163896183
appuyer,0.0545794522674162
civil,0.05429223829047465
principe,0.054058381888785575
courant,0.053878081103737256
nouveau,0.053350055601756666
dimension,0.05246635803818081
confusion,0.05229633863586591
outil,0.051637676306285775
accroissement,0.050704462961571946
défi,0.05032156841546755
lui,0.05026943356315709
fracture,0.050268722593096775
vue,0.050177628710465466
2000,0.04901220298187688
délicat,0.04880459232033606
serre,0.04868069620429287
prêter,0.04855818443136191
naître,0.04845763003951375
le,0.048198654201878
dégradation,0.048198654201878
gérer,0.047599693021109064
ce,0.047036430725525345
transformation,0.0470133099859035
autant,0.04677530159071054
gaz,0.046661083000800116
perspective,0.045935981564632807
naturellement,0.04587049276361469
ignorer,0.04587049276361469
activité,0.045688174266967765
incontournable,0.045681441707816704
inclure,0.04558812463727663
devoir,0.045565354348436705
sommaire,0.04551014402389008
forme,0.04473228381093449
proposer,0.044620797148789984
biologique,0.04452619635691955
enjeu,0.042827904330266384
cesser,0.04259760979458473
exposition,0.04224949517217655
forcémer,0.04218117912808721
notion,0.04210694318120306
écosystème,0.04204581087037129
discrimination,0.04164945363337435
territoire,0.0411840998841171
négatif,0.04108055251830409
davantage,0.04098023139915459
explorer,0.04059851051588922
pays,0.04058666786730348
party,0.040481239990479576
concrètement,0.03947869230277763
paysage,0.03921573750385259
tenter,0.03911229626868252
permettre,0.03908739827060499
sein,0.038749473478151414
grand,0.038283658970061724
utiliser,0.03820262584175922
décrire,0.03780369611578045
réflexion,0.03767346913596917
tension,0.036883961680256525
préciser,0.03675864957795118
renvoyer,0.03643132110320095
utilisation,0.03595795163908984
cas,0.034924062175354036
consommation,0.032998366829900434
donner,0.03258683882288192
amener,0.03253662746419628
développer,0.03246015214834569
diversité,0.03203940269383189
pose,0.03185196753805979
crise,0.03174628296462796
disposer,0.031667682702552394
être,0.03128896645458599
constater,0.03088685833804774
société,0.030584326416640235
sorte,0.030318366982606027
force,0.0291585058919624
largement,0.028993620234329835
pourtant,0.028851351644809377
intéresser,0.027941137487598498
sujet,0.027468291535130442
production,0.027432749560392752
premier,0.02730925215308603
œuvre,0.025926562285930377
apporter,0.025818838153142887
construire,0.025697007015216697
plan,0.025368787717895743
Lyon,0.02524377543843612
niveau,0.023034365451855283
partie,0.022489784000506916
etc,0.022243878514318985
local,0.02177860727884493
an,0.02161040164682704
devenir,0.020680718761123942
temps,0.020038563633335654
bien,0.01808172917968123
mettre,0.017593671867776328
