,0
radiologie,0.45736083665768756
pionnier,0.2807653651672661
lyonii,0.26511301092415673
Mornex,0.26511301092415673
expérimentalisteiii,0.26511301092415673
Destot,0.24212660425602664
clinicien,0.22868041832884378
etienne,0.20857951556570234
successeur,0.194143334482436
René,0.18411898288187825
homme,0.18032579954405484
hommage,0.178801639806348
investigation,0.17115692781430591
connu,0.1512338398198543
considérablement,0.14916051630225927
médecine,0.14673882939719052
invention,0.1458175930774917
Sommaire,0.14278100747652892
progresser,0.13962029556131206
contemporain,0.10420816424724598
multiple,0.10088299104961522
chercheur,0.09733044705823064
ici,0.0815472005727901
connaître,0.07933344630715874
lyonnais,0.07697213776411606
permettre,0.06452861163892505
