,0
Rapports,2.725209917749421
social,1.641210877293689
moral,1.539671783594124
violence,1.516358988119191
sécularisation,1.3917369095196699
valeur,1.2296316203040927
enquête,1.0169918335645391
fiche,0.9459843333417182
trajectoire,0.9116549716435982
clivage,0.9113600296642068
dossier,0.9091964067259384
français,0.8540131216037927
croyance,0.8410205474667003
cohésion,0.8378931908271929
prospective,0.8235650388988374
environnement6,0.7690233628625192
institutions2,0.7690233628625192
religion4,0.7690233628625192
sociales3,0.7690233628625192
violence5,0.7690233628625192
commenté,0.7553162542817761
public,0.7333162031950852
Retrouvez,0.721045984124012
ville,0.713622766733478
régresser,0.7125219464180147
transformation,0.7012076411788859
adolescent,0.6931592442594591
technologie,0.6883493372049576
sexualité,0.6512973808526114
compiler,0.6461242662969516
religion,0.6391170566781749
solidarité,0.6184741814025481
ils,0.6113868715445874
altérité,0.5907963984387701
famille,0.5788689434641725
droite,0.5568164515360491
résultat,0.5426417570464315
gauche,0.5382507965850566
mondialisation,0.5364921789081964
travail,0.5127408965568836
aspiration,0.5065161970486862
rapport,0.4986439651348795
thématique,0.49021923392468114
règle,0.4792051709441728
projeter,0.4774404886496905
nation,0.47052503370243737
réaliser,0.46874861090959197
centaine,0.468308282578004
fondement,0.4639975706825101
tension,0.46059556499685583
ici,0.4596010005269211
genre,0.45680913404832074
civique,0.44678409790551304
forme,0.4459970199432808
campagne,0.442779732632592
alimentation,0.442779732632592
vie,0.4412116927110934
pratique,0.43945705861228895
usager,0.4348739224955465
présenter,0.42648056953259167
affirmer,0.41641221237266773
agent,0.4154833276321988
évoluer,0.4117090567732561
analyse,0.4006957884770913
national,0.3925286585283072
religieux,0.3906182550106436
question,0.3871308343673979
politique,0.38411085434995973
travailleur,0.38281969014548284
institution,0.38135238033902663
dialogue,0.3791752085552492
conception,0.3659809083664831
incivilité,0.3625292805090592
demain,0.3590685702064967
transformer,0.35634015330821445
société,0.35588616485698815
Roché,0.35348834223924835
consommation,0.3518913687677378
groupe,0.3484533513286192
souhaiter,0.3430466218190968
familial,0.33978018036738644
guichet,0.33787093114849376
espace,0.3321823921791655
direction,0.3249498444457779
faire,0.3233488440927384
sentiment,0.32325962191728363
notion,0.32309734131724854
point,0.32308945226629815
santé,0.3188122595051116
environnement,0.315895204685799
international,0.315812714198339
scolaire,0.30413288517183135
évolution,0.3011016303807745
sein,0.30096746911490563
fin,0.300518989676973
laïcité,0.29771146638172524
toucher,0.29648416336606437
action,0.28625225926800857
situation,0.28432061639261297
place,0.27200789272602804
niveau,0.26971721836251117
culture,0.264462512661051
important,0.2633674470200671
Sebastian,0.26087649918251976
professionnel,0.2576516031390717
