,0
Grande,0.3397072002895658
Bretagne,0.32635120199092316
Pays,0.3103002284637445
comparaison,0.27872182607840473
Allemagne,0.27512328512734524
Faist,0.26604054012622885
Millenaire3,0.23554785302064832
institutionnel,0.22794694395281795
providence,0.18941419836346557
résultat,0.1881395889146329
Cahier,0.17274919932621702
résumé,0.1616963175756767
contexte,0.16083784470743184
Thomas,0.158921511257885
28,0.14587497886491668
immigré,0.14165688523403633
France,0.13912986221623533
cohésion,0.1198003148205197
publier,0.11245672553634885
reconnaissance,0.11229238743746017
ouvrage,0.10630708582268376
auteur,0.10630708582268376
intégration,0.10231145969577661
numéro,0.10123594211702876
Europe,0.09673348749192831
texte,0.09532573208978504
état,0.08131149992757782
social,0.055996120889066955
