,0
descendant,0.427954001692319
inclusif,0.4201554979344528
charlie,0.3663988112696912
colonial,0.30087047281552515
attentat,0.2976230821468964
musulman,0.2822885548721192
métropole,0.2553982209036475
social,0.2480876039136228
générationnel,0.24765391146978066
immigré,0.24606163566478814
postcolonial,0.24264689391175392
immigrer,0.23867529424199935
inclusion,0.23003322900791046
veille,0.22154081404278547
après,0.22096466274211402
sujet,0.21490914231441552
récit,0.2054721500365245
ressentimer,0.20112726615812815
réimposer,0.20112726615812815
presse,0.19378404349492415
génération,0.19282044701011522
auteur,0.18802480777856476
perpétrer,0.17807472389351417
Kif,0.1769934528842417
ressentiment,0.17348777867237652
Hebdo,0.1696095717471919
intégrisme,0.1696095717471919
Charlie,0.1696095717471919
étude,0.1682863969367398
2016,0.16591967842938246
autour,0.16450732570517998
durcissement,0.16328686621485158
terroriste,0.16328686621485158
revue,0.16053016619221203
question,0.15655915393204192
intergénérationnelle,0.15588109134682696
interrogation7,0.1529740648616678
commentent,0.1529740648616678
indivisible4,0.1529740648616678
inclusive11,0.1529740648616678
inclusion12,0.1529740648616678
éducatives3,0.1529740648616678
radicalisation,0.15279355562015812
France,0.15249005260825108
source,0.15244075552713238
suite,0.1518397655921125
défi,0.14974994463975458
banlieue,0.14881768091892064
creuser,0.14784354864812937
engagement,0.14567545778416252
résument,0.1452154199313541
Seniors,0.1452154199313541
contexte,0.14342363567239
réactiver,0.1407997083215021
centrifugeuse,0.1397105737477098
politisation,0.13968136662082292
ville,0.1392707139855439
émeute,0.13659687049589486
examiner,0.1356473787291
commun,0.13491732926307823
national,0.1332774578252274
parole,0.1332083189306768
sérendipité,0.1319519288173961
apparaître,0.1319027669981969
épreuve,0.13103306202989606
intégration,0.12991642915227983
trancher,0.1291184544543513
caractère,0.12893691078935957
frapper,0.1284097161583983
cadrage,0.12739125415118305
14,0.12716925183616812
15,0.12693893793172592
faire,0.12460958718239884
public,0.12414098916317651
laïcité,0.12224279159259627
conflit,0.12173954651343943
transversau,0.12035341544248464
perspective,0.12026118109149778
post,0.11964682626837073
confiance,0.11874245339740232
réalisent,0.11868843770343805
roman,0.11703802656539534
marquer,0.11655214975318456
synthèse,0.1152431926169284
journal,0.1151422331525593
résumé,0.11234825703787035
normatif,0.11202017667771873
lier,0.11123022303594488
relation,0.10978363991391732
