,0
politique,380
social,368
public,366
personne,311
être,251
faire,249
association,236
citoyen,226
pouvoir,220
question,199
quartier,197
local,193
société,184
action,180
bien,179
vie,173
falloir,164
ville,159
handicap,157
grand,151
droit,148
exemple,136
mettre,134
démocratie,131
projet,131
prendre,130
lyon,128
non,126
espace,125
handicaper,122
france,121
participation,120
loi,119
service,117
nouveau,115
habitant,115
travail,114
conseil,114
temps,114
français,110
agir,110
hui,109
aujourd,109
rapport,109
collectif,107
forme,105
solidarité,105
national,104
jeune,102
place,102
pourcent,101
etc,98
élu,97
voir,96
groupe,96
monde,95
acteur,91
collectivité,91
permettre,90
intérêt,90
manière,90
territoire,88
enquête,88
il,88
passer,87
urbain,84
individu,84
trouver,83
institution,83
donner,82
concertation,81
population,81
décision,81
citoyenneté,80
point,80
année,80
identité,78
problème,78
chose,77
compte,77
vivre,77
cas,75
économique,73
lieu,73
démarche,73
débat,73
participatif,73
développement,72
bon,72
associatif,72
famille,72
important,71
beaucoup,71
situation,71
sens,71
engagement,70
travailler,70
an,70
penser,70
recherche,69
expérience,69
mise,69
moyen,69
fois,68
part,68
aller,68
devenir,68
ce,67
savoir,67
professionnel,66
mouvement,66
processus,66
niveau,65
terme,65
vous,65
rôle,65
sentiment,65
état,65
besoin,64
général,64
pratique,64
partie,63
école,63
ensemble,63
venir,61
nombre,61
logement,61
lien,60
corps,60
principe,60
enjeu,60
éducation,59
construire,59
exister,58
éthique,58
enfant,57
créer,57
contre,57
commun,57
condition,56
relation,56
étranger,56
avoir,56
objectif,56
devoir,56
organiser,56
dispositif,56
populaire,56
approche,55
formation,55
vouloir,55
système,54
comprendre,54
capacité,52
information,52
fort,52
communauté,52
impliquer,52
répondre,51
emploi,51
autant,51
représentation,51
bénévole,51
prise,50
dimension,50
inégalité,50
milieu,50
travers,49
petit,49
poser,49
concerner,49
considérer,49
ailleurs,49
religieux,48
métropole,48
moment,48
idée,48
développer,48
habitat,48
représentatif,47
contexte,47
culturel,47
activité,47
fonction,47
mode,47
civil,47
cause,47
champ,46
produire,46
injustice,46
énergie,46
initiative,46
autour,46
terrain,45
handicapé,45
type,45
cadre,45
mesure,44
proposer,44
démocratique,44
agglomération,44
partager,44
domaine,44
parcours,44
militant,43
connaître,43
environnement,43
porter,43
appartenance,43
accessibilité,43
appeler,43
dynamique,43
élection,43
norme,43
valeur,43
dire,42
administration,42
reconnaissance,42
âge,42
compétence,42
difficulté,42
entreprise,42
constituer,42
femme,42
on,42
partir,42
choix,41
entendre,41
vue,41
lier,41
territorial,41
