,0
personne,409
handicap,359
social,211
handicaper,189
association,129
être,112
situation,105
vie,101
santé,98
public,96
loi,91
handicapé,87
logement,86
droit,82
accessibilité,77
grand,74
projet,73
question,72
service,68
psychique,65
solidarité,65
politique,65
place,64
emploi,64
société,63
faire,63
action,61
jardin,58
habitat,58
professionnel,57
travail,57
aide,55
prise,54
bien,54
besoin,54
mettre,52
prendre,52
pourcent,52
mental,52
établissement,50
etc,50
non,50
champ,49
déficience,49
pouvoir,49
famille,47
sexuel,46
enfant,44
accès,44
temps,44
représentation,44
lyon,43
dispositif,43
ville,43
mise,43
année,42
exemple,42
lieu,42
acteur,41
national,41
accompagnement,41
innovation,41
charge,40
important,40
aujourd,39
2005,39
autonomie,39
il,39
compte,39
vivre,39
hui,39
concerner,38
entreprise,37
nouveau,37
difficulté,36
approche,36
insertion,36
nombre,36
cadre,36
matière,35
ensemble,35
démarche,35
exister,35
état,35
rapport,35
france,35
hôpital,35
falloir,35
soin,34
population,34
espace,34
travailler,34
activité,34
environnement,34
trouble,33
devoir,33
humain,33
permettre,33
adapter,32
an,32
ressource,32
passer,32
inclusif,32
part,32
pratique,31
âgé,31
développement,31
mesure,31
notion,30
capacité,30
évolution,30
collectif,29
manière,29
beaucoup,29
lien,29
malade,29
particulier,29
familial,29
économique,29
développer,28
individu,28
fonction,28
intégration,28
cas,28
principe,28
terme,28
international,27
accessible,27
sens,27
monde,27
fois,27
constituer,27
partie,27
psychiatrique,26
domaine,26
psychiatrie,26
général,26
voir,26
autant,26
information,26
fort,26
créer,26
vous,26
centre,26
proposer,26
secteur,25
considérer,25
définition,25
travailleur,25
structure,25
médico,25
moyen,25
dernier,24
agir,24
reconnaissance,24
relation,24
assistance,24
accompagner,24
discrimination,24
demande,24
souffrir,24
devenir,24
usager,24
nécessaire,24
mode,24
forme,24
usage,23
objectif,23
qualité,23
trouver,23
bon,23
condition,23
hébergement,23
souffrance,23
exclusion,23
œuvre,23
technique,23
répondre,22
institution,22
rhône,22
bailleur,22
porter,22
milieu,22
bénéficier,22
améliorer,22
collectivité,22
priver,22
offrir,22
maladie,22
habiter,22
aider,22
compensation,21
déplacement,21
favoriser,21
formation,21
difficile,21
problème,21
contre,21
accueillir,21
participation,21
organisation,21
définir,21
risque,21
rôle,21
comprendre,20
logique,20
raison,20
commun,20
marché,20
reconnaître,20
corps,20
lier,20
local,20
réflexion,20
différence,20
domicile,20
voire,20
étude,20
direction,20
penser,20
pays,20
gérer,20
aménagement,20
niveau,20
impliquer,20
médical,20
valide,20
réalité,19
habitant,19
recherche,19
adulte,19
accueil,19
intégrer,19
éducation,19
fauteuil,19
type,19
égalité,19
débat,18
idée,18
assurer,18
objet,18
maintien,18
conseil,18
2010,18
point,18
création,18
réduire,18
réponse,18
européen,18
mieux,18
sexualité,18
recevoir,17
agglomération,17
face,17
citoyen,17
inscrire,17
sommaire,17
choix,17
ce,17
apporter,17
conception,17
quartier,17
application,17
vouloir,17
connaître,17
environnemental,17
parent,17
partager,17
obligation,17
partenaire,17
parole,16
groupe,16
retrouver,16
aborder,16
aller,16
2011,16
quotidien,16
département,16
solution,16
gestion,16
donner,16
revendication,16
réaliser,16
design,16
urbain,16
dépendance,16
long,16
hospitalisation,16
modèle,16
jardinage,16
source,16
cause,16
aveugle,16
jour,16
moteur,15
sur,15
mission,15
citoyenneté,15
culture,15
davantage,15
intérêt,15
regard,15
ailleurs,15
présent,15
traitement,15
affectif,15
conséquence,15
envisager,15
origine,15
contraindre,15
accident,15
engager,15
outil,14
particulièrement,14
conduire,14
ami,14
équipe,14
synthèse,14
demander,14
associatif,14
concept,14
soutien,14
maison,14
patient,14
lui,14
rencontrer,14
venir,14
sujet,14
changer,14
commission,14
prestation,14
âge,14
utiliser,14
dimension,14
terrain,14
intervenir,13
intéressant,13
autorité,13
site,13
homme,13
universel,13
connaissance,13
sécurité,13
volonté,13
processus,13
problématique,13
matériel,13
possibilité,13
trop,13
territoire,13
relever,13
large,13
effort,13
responsable,13
jeune,13
multiple,13
alpes,13
financier,13
financement,13
ordinaire,12
durée,12
entendre,12
contribuer,12
limite,12
autour,12
mdph,12
savoir,12
compétence,12
progrès,12
promotion,12
organisme,12
mouvement,12
demandeur,12
poste,12
femme,12
expérience,12
sein,12
siècle,12
effectivement,12
