,0
emploi,318
insertion,117
public,101
lyon,98
politique,86
grand,86
entreprise,83
travail,72
social,66
local,65
économique,63
territoire,61
être,59
chômage,56
jeune,54
bien,53
action,51
agglomération,50
marché,49
personne,48
faire,45
question,44
prendre,43
acteur,43
falloir,42
développement,42
métropole,40
mettre,38
service,37
ville,37
niveau,36
mission,35
maison,35
nouveau,34
échelle,34
exemple,34
pôle,34
proposer,34
demandeur,33
permettre,32
cadre,32
accès,31
hui,30
aujourd,30
commune,28
territorial,28
formation,28
activité,27
dispositif,27
compétence,26
développer,26
quartier,26
sportif,26
place,26
responsable,25
ressource,25
il,25
travailler,24
intégration,24
enjeu,24
sortie,24
évolution,24
difficulté,23
compte,23
lyonnais,23
point,23
clause,23
recrutement,22
bon,22
professionnel,22
mixité,22
métier,22
projet,22
démarche,22
besoin,21
objectif,21
disparité,21
rôle,21
etc,21
national,21
situation,21
état,20
structure,20
ensemble,20
taux,20
approche,20
favoriser,20
problème,19
année,19
collectivité,19
problématique,19
monde,19
ailleurs,19
mise,19
agir,19
spatial,19
conduire,19
durée,18
unss,18
plie,18
urbain,18
partie,18
achat,18
pourcent,18
nombre,18
connaître,17
constituer,17
collectif,17
axe,17
recherche,17
réseau,17
étude,17
pratique,17
an,17
création,16
plan,16
aller,16
fort,16
pouvoir,16
étranger,16
temps,16
proximité,16
accompagner,15
gestion,15
venir,15
contrat,15
système,15
élève,15
organiser,15
entreprendre,15
sport,15
effet,15
région,15
dernier,15
exister,14
lieu,14
frein,14
sein,14
secteur,14
orientation,14
réalité,14
commun,14
fois,14
moyen,14
domaine,14
intervenir,14
intervention,14
engager,14
trouver,14
terme,14
travers,14
rapport,14
programme,14
élément,13
pertinent,13
dossier,13
matière,13
contre,13
caractéristique,13
contexte,13
créer,13
mieux,13
réflexion,13
scolaire,13
lier,13
économie,13
prise,13
population,13
non,12
entendre,12
œuvre,12
individuel,12
command,12
particulier,12
beaucoup,12
métropolitain,12
faveur,12
adapter,12
faciliter,12
lien,12
association,12
concerner,12
vision,12
intérêt,12
vie,12
aider,12
difficile,12
groupe,12
retrouver,12
acheteur,11
répondre,11
uni,11
rassembler,11
organisation,11
conseil,11
dynamique,11
documentaire,11
poser,11
offre,11
relation,11
souhaiter,11
important,11
mobilité,11
mesure,11
cas,11
passer,11
rsa,11
évaluation,11
construire,11
vue,11
arriver,11
parcours,11
chance,10
autour,10
régional,10
élu,10
partenaire,10
capacité,10
autant,10
crise,10
maire,10
direction,10
général,10
gouvernance,10
intégrer,10
logement,10
condition,10
loin,10
long,10
lui,10
france,10
élevé,10
statistique,10
mobiliser,10
société,10
partir,10
face,10
écologique,10
existant,10
discrimination,9
stratégie,9
viser,9
demande,9
environnemental,9
réaliser,9
disposition,9
principal,9
principe,9
priorité,9
accompagnement,9
accompagnemer,9
valoriser,9
constater,9
offrir,9
type,9
humain,9
effectivement,9
sens,9
cler,9
outil,9
essentiel,9
changement,9
cohésion,9
charge,9
solidaire,9
directeur,9
observer,9
manière,9
diagnostic,9
volonté,9
aborder,9
différence,8
enfant,8
diversité,8
est,8
information,8
impliquer,8
grâce,8
impact,8
consister,8
idée,8
part,8
collège,8
générer,8
envisager,8
inégalité,8
porter,8
jean,8
débat,8
espace,8
large,8
municipalité,8
avenir,8
chose,8
particulièrement,8
ce,8
entretien,8
loi,8
fiche,8
dimension,8
participer,8
000,8
article,8
vocation,8
éloigné,8
santé,8
éducation,8
responsabilité,8
vivre,8
révéler,8
sud,8
volet,8
vous,8
éclairer,8
évènement,8
mdef,7
document,7
commande,7
sortir,7
ambition,7
