,0
mobilité,746
transport,701
ville,585
lyon,540
être,452
urbain,429
grand,412
voiture,389
service,380
faire,362
temps,359
public,355
projet,328
déplacement,327
falloir,323
mode,321
véhicule,285
bien,284
politique,269
espace,250
nouveau,244
développement,243
système,231
vélo,228
exemple,221
question,214
social,198
métro,195
mettre,194
pouvoir,191
place,191
information,185
aujourd,184
hui,184
territoire,183
centre,172
usage,172
travail,172
solution,169
permettre,169
etc,168
pourcent,168
commun,167
part,159
réseau,150
travailler,149
pôle,147
usager,146
agglomération,145
vie,145
rue,142
devenir,141
prendre,140
économique,140
développer,140
passer,138
année,137
terme,136
entreprise,136
lyonnais,134
il,132
personne,132
local,127
non,127
infrastructure,126
donnée,126
fois,124
technique,124
beaucoup,123
bus,123
station,123
agir,117
ligne,115
recherche,114
besoin,114
voir,112
automobile,111
acteur,108
an,108
point,108
enjeu,107
étude,107
innovation,106
société,105
niveau,105
moyen,105
important,105
france,104
habitant,104
activité,103
pratique,102
réel,100
collectivité,98
utiliser,97
urbanisme,96
changement,96
objectif,95
proposer,94
fort,93
créer,92
zone,92
compte,91
bon,91
coût,91
marché,91
plan,91
commune,90
vouloir,90
vous,90
stationnement,89
collectif,89
ensemble,89
ailleurs,89
environnement,88
aménagement,88
jour,88
accès,88
individuel,87
kilomètre,86
demande,86
emploi,85
particulier,85
heure,85
quotidien,85
petit,85
venir,85
changer,85
réaliser,84
durable,84
donner,84
trafic,84
lieu,84
évolution,83
monde,83
région,83
distance,83
modèle,82
rhône,81
dispositif,80
énergie,80
rapport,80
autour,80
cadre,80
dernier,80
partie,79
gestion,79
comportement,78
mise,78
avoir,78
problème,78
manière,78
métropole,77
périurbain,77
action,77
devoir,77
aller,77
voirie,77
savoir,77
trouver,76
circulation,75
électrique,75
œuvre,75
répondre,74
imaginer,74
rôle,73
sens,73
demain,73
compétence,73
offre,73
cas,73
ce,72
outil,71
idée,71
chose,71
échelle,70
population,70
mieux,70
communauté,69
partir,69
partage,68
choix,68
nombre,68
logique,67
long,67
oui,67
favoriser,67
arriver,67
constituer,66
offrir,65
covoiturage,65
voie,65
partager,65
matière,65
qualité,65
fonction,64
lier,64
trop,63
élément,63
penser,63
intérêt,63
principe,62
intégrer,62
opérateur,62
lutb,62
axe,62
échange,61
train,61
général,61
exister,60
valeur,60
programme,60
conduire,59
sécurité,59
expliquer,59
condition,59
adapter,59
marchandise,59
économie,58
assurer,58
prix,58
vitesse,58
contexte,58
consommation,57
type,57
côté,57
mesure,57
groupe,57
capacité,57
objet,57
nécessaire,56
appeler,56
apporter,56
croissance,56
expérimentation,56
comprendre,56
approche,56
production,56
quartier,55
français,55
autonome,55
paris,55
domaine,55
semaly,55
priver,55
utilisateur,54
organiser,54
raison,54
construire,54
autant,54
forme,54
mobile,54
piéton,54
ressource,53
porter,53
impliquer,53
gare,53
améliorer,52
réduire,52
direction,51
consister,51
routier,51
conseil,50
émission,50
déplacer,50
organisation,50
observer,50
moment,50
site,50
technologie,49
impact,49
on,49
autopartage,49
démarche,49
modal,49
produit,48
considérer,48
tc,48
air,48
tramway,48
face,47
fin,47
aide,47
augmenter,47
flux,47
accompagner,47
école,46
congestion,46
maîtrise,46
écologique,46
pourtant,46
automatique,46
cours,46
camion,46
dieu,46
fonctionner,46
décision,45
principal,45
commerce,45
époque,45
homme,45
000,45
humain,44
piste,44
vue,44
cœur,44
proximité,44
réflexion,44
concerner,44
état,44
sytral,44
élu,44
connaître,44
notion,44
environnemental,44
champ,44
individu,44
commencer,44
meilleur,43
sujet,43
situation,43
européen,43
trajet,43
vision,43
limite,43
secteur,43
vivre,43
utilisation,43
solidarité,43
route,43
relation,43
réduction,43
engager,42
mission,42
pollution,42
futur,42
sein,42
équipement,42
propre,42
personnel,42
charge,42
dimension,42
marche,41
parc,41
opportunité,41
moyenne,41
imposer,41
largement,41
cyclable,41
loin,41
exploitation,41
lui,41
formation,41
débat,40
pays,40
produire,40
premier,40
dou,40
évoluer,40
pied,40
national,40
citoyen,40
habiter,39
davantage,39
professionnel,39
tendance,39
ouvrage,39
numérique,39
ensuite,39
jusqu,39
regard,39
essentiel,39
conducteur,39
industriel,38
eau,38
analyse,38
souhaiter,38
50,38
droit,38
vrai,38
augmentation,38
lien,38
grâce,38
risque,38
contre,37
10,37
financement,37
ménage,37
international,37
avenir,37
création,37
intéresser,37
faible,37
application,37
viser,37
revenir,37
début,37
passage,36
montrer,36
participer,36
communication,36
porte,36
chercheur,36
actuel,36
directeur,36
étalement,36
global,35
éviter,35
rien,35
difficulté,35
milieu,35
optimod,35
limiter,35
essayer,35
consommateur,35
mal,35
faciliter,34
concept,34
surface,34
contribuer,34
inégalité,34
payer,34
efficace,34
ici,34
livraison,34
court,34
levier,34
présenter,34
continuer,34
poser,34
possibilité,34
jean,33
logement,33
nature,33
riverain,33
réponse,33
vraiment,33
complexe,33
intéressant,33
concevoir,33
ouvrir,33
dire,33
laboratoire,33
structure,33
jouer,33
effet,33
sur,33
autorité,32
présent,32
temporel,32
parking,32
compétitivité,32
libre,32
20,32
optimiser,32
difficile,32
gérer,32
30,32
auto,32
santé,32
prévoir,32
frein,32
logistique,32
disposition,31
technologique,31
majeur,31
base,31
maire,31
expérience,31
trottoir,31
loi,31
habitat,31
gain,31
commercial,31
construction,31
mondial,31
mener,31
capable,31
intelligent,31
entretien,30
générer,30
vite,30
efficacité,30
donne,30
association,30
inscrire,30
sol,30
enfant,30
million,30
ancien,30
travers,30
périphérie,30
représenter,30
ingénieur,29
identifier,29
entreprendre,29
apparaître,29
privilégier,29
entrer,29
2010,29
alternatif,29
transformation,29
membre,29
gros,29
énergétique,29
contraire,29
enquête,29
gaz,29
sûr,29
université,29
est,29
territorial,29
occuper,29
responsable,29
horaire,28
central,28
amélioration,28
physique,28
président,28
prise,28
mois,28
large,28
pertinent,28
intégration,28
mouvement,28
existant,28
moteur,28
culture,28
relier,28
dynamique,28
rené,28
intermodalité,28
contraindre,28
renault,28
ordre,28
parcours,28
correspondre,28
problématique,27
effectivement,27
importance,27
aspect,27
classique,27
phénomène,27
alternative,27
euro,27
disposer,27
carburant,27
bilan,27
conduite,27
rail,27
science,27
envisager,27
chercher,27
cher,27
lancer,27
stratégie,27
minute,27
vis,27
image,27
dense,27
voire,27
internet,27
auprès,27
europe,27
egis,27
roue,27
définir,26
renforcer,26
réserver,26
puissance,26
diminuer,26
infrastructur,26
investissement,26
accident,26
conception,26
modifier,26
partenariat,26
2012,26
chaîne,26
crise,26
multi,26
installer,26
métropolitain,26
sortir,26
habitude,26
connaissance,26
etat,26
croire,26
réalité,26
résultat,26
maître,26
pradel,26
ratp,25
commande,25
urbaniste,25
acheter,25
équipe,25
métier,25
discours,25
1990,25
trucks,25
transition,25
évoquer,25
serre,25
tenir,25
situer,25
fonctionnement,25
constructeur,25
prospective,25
titre,25
autoroute,25
innovant,25
financier,25
réfléchir,25
bureau,25
continuité,25
rester,25
responsabilité,24
poursuivre,24
appuyer,24
institution,24
entendre,24
perspective,24
inciter,24
architecte,24
paradigme,24
rythme,24
décider,24
période,24
charger,24
2005,24
siècle,24
naturel,24
pointe,24
participant,24
urbaine,24
accueil,24
espèce,24
pose,24
client,24
gagner,24
contrôle,24
agence,24
particulièrement,24
paraître,24
au,24
contrainte,23
terre,23
extérieur,23
fortement,23
serviciell,23
partenaire,23
histoire,23
traiter,23
doute,23
40,23
journée,23
associer,23
traduire,23
aucun,23
catégorie,23
étudier,23
actuellement,23
évaluation,23
accueillir,23
opération,23
co,23
méthode,23
remettre,23
actif,23
disponible,23
2011,23
management,23
critère,23
facteur,23
quai,23
compter,23
tarification,23
diversité,22
département,22
cycliste,22
définition,22
suite,22
passager,22
ouverture,22
transformer,22
défendre,22
là,22
2006,22
plein,22
coup,22
forcément,22
idé,22
calcul,22
effectuer,22
circuler,22
semaine,22
véritable,22
co2,22
jeune,22
écrire,22
pierre,22
ajouter,22
adopter,22
saône,22
2000,22
durée,22
scientifique,22
ferroviaire,22
commission,22
salarié,22
user,21
conséquence,21
syndicat,21
lourd,21
biodiversité,21
desservir,21
100,21
rouler,21
nord,21
financer,21
favorable,21
affaire,21
multiple,21
rendre,21
multiplier,21
sommaire,21
inventer,21
phase,21
volonté,21
complexité,21
foncier,21
revanche,21
smart,21
bassin,21
facile,21
constater,21
considérable,21
intelligence,21
interview,21
tarif,21
esprit,21
pdu,21
cause,21
voyageur,21
schéma,20
réglementaire,20
chiffre,20
investir,20
mètre,20
occasion,20
innover,20
complet,20
retrouver,20
régulation,20
vou,20
résidentiel,20
lieux,20
hub,20
puisqu,20
avantage,20
inverse,20
processus,20
atelier,20
arrêt,20
filière,20
rupture,20
loisir,20
prêt,20
jeu,20
in,20
finalement,20
tunnel,20
électricité,20
intervenir,20
rencontre,20
rentrer,20
haut,20
budget,20
capteur,19
art,19
réalisation,19
appliquer,19
villeurbanne,19
15,19
prospectif,19
équiper,19
taux,19
expression,19
industrie,19
technicien,19
2020,19
habitation,19
clairement,19
complètement,19
climatique,19
mot,19
vice,19
interface,19
motoriser,19
sncf,19
aider,19
constat,19
marseille,19
banlieue,19
obtenir,19
course,19
fournir,19
jamais,19
2009,19
choisir,19
accompagnement,19
pont,19
génération,19
consacrer,19
multimodal,19
issu,19
contrat,19
structurer,19
source,19
salarier,19
saint,19
périphérique,19
courte,19
sorte,19
norme,19
lorsqu,19
précaution,19
2007,18
obliger,18
nécessiter,18
partout,18
demander,18
tester,18
promouvoir,18
collaboration,18
reconnaître,18
rapidement,18
louis,18
initiative,18
delà,18
club,18
fluide,18
terrain,18
porteur,18
fonctionnel,18
progressivement,18
influence,18
moderne,18
architecture,18
performance,18
vert,18
servir,18
opérer,18
décideur,18
préférer,18
élaborer,18
respecter,18
unique,18
organisateur,18
contemporain,18
agricole,18
placer,18
25,18
étape,18
endroit,18
origine,18
représentation,18
regrouper,18
modalité,18
gagès,18
fleuve,18
révéler,18
nan,18
potentiel,18
dialogue,18
insertion,18
nécessité,17
aborder,17
80,17
ell,17
carte,17
rapide,17
proposition,17
percevoir,17
consommer,17
fluvial,17
logiciel,17
moitié,17
planification,17
coûteux,17
optimisation,17
densité,17
civil,17
coordination,17
machine,17
citadin,17
concours,17
relever,17
traitement,17
force,17
réglementation,17
génie,17
stratégique,17
bâtiment,17
simplement,17
organisme,17
exploiter,17
famille,17
croix,17
lead,17
virtuel,17
polluant,17
interroger,17
alpes,17
déchet,17
unis,17
trottinette,17
amont,17
achat,17
élevé,17
accord,16
supérieur,16
défi,16
progrès,16
évaluer,16
rousse,16
assister,16
renvoyer,16
culturel,16
évident,16
tram,16
port,16
enseignement,16
signifier,16
feu,16
maintenir,16
bénéficier,16
chemin,16
faveur,16
perrache,16
urbanisation,16
2008,16
horizon,16
révolution,16
paysage,16
amener,16
compliquer,16
itinéraire,16
ter,16
administration,16
recueillir,16
former,16
nous,16
numéro,16
informatique,16
expert,16
doter,16
localisation,16
dépendre,16
solidaire,16
capital,16
effort,16
conflit,16
plus,16
autolib,16
démontrer,16
sud,16
bruit,16
cahier,15
up,15
départ,15
bénéfice,15
charte,15
productivité,15
empreinte,15
décennie,15
convier,15
ingénierie,15
matériel,15
baser,15
succès,15
peut,15
orientation,15
mobiliser,15
tourner,15
étudiant,15
souligner,15
assistance,15
vraie,15
réunir,15
genre,15
etats,15
inter,15
doux,15
confier,15
occupation,15
fondateur,15
liaison,15
rappeler,15
robot,15
institut,15
interne,15
parler,15
brique,15
arrêter,15
acte,15
option,15
établissement,15
idéal,15
confiance,15
déterminer,15
bateau,15
waldmann,15
entrée,15
fréquentation,15
dédier,15
cohérence,15
aire,15
mutation,15
essentiellement,15
île,15
accessible,15
frontière,15
cohabitation,15
presqu,15
automatiser,15
regarder,15
intérieur,15
location,15
1999,14
cité,14
70,14
critique,14
péage,14
accélération,14
accepter,14
présente,14
beau,14
livrer,14
yao,14
américain,14
bio,14
thermique,14
essai,14
enjeux,14
caractéristique,14
agriculture,14
concentrer,14
2003,14
femme,14
automatisme,14
intégré,14
réunion,14
accessibilité,14
perdre,14
maison,14
coûter,14
analyser,14
simple,14
autonomie,14
apprendre,14
acceptabilité,14
diversifier,14
récent,14
bouger,14
soutenir,14
poids,14
ogoubi,14
sociologue,14
aménager,14
toucher,14
pousser,14
taille,14
clé,14
précisément,14
bref,14
régional,14
acquérir,14
élargir,14
confluent,14
carrefour,14
double,14
expérimenter,14
tracé,14
positif,14
maîtriser,14
rencontrer,14
thèse,14
totalement,14
appropriation,14
communautaire,14
reprendre,14
voyage,14
rural,14
report,14
confort,14
étranger,14
vendre,14
jusque,14
équilibre,14
attendre,14
montée,14
sous,14
grenelle,14
taxi,14
supposer,14
aéroport,14
concurrence,14
article,14
équivalent,13
accéder,13
coopération,13
indispensable,13
georges,13
certainement,13
fluidité,13
subir,13
mesurer,13
filiale,13
décembre,13
ensembl,13
varier,13
pression,13
ile,13
chantier,13
sentiment,13
start,13
1970,13
milliard,13
mutualiser,13
susciter,13
fiabilité,13
écosystème,13
démographique,13
contact,13
chaussée,13
éducation,13
présence,13
scot,13
marquer,13
convaincre,13
concertation,13
uniquement,13
direct,13
modeste,13
fond,13
facilement,13
plupart,13
liberté,13
négatif,13
généralement,13
orfeuil,13
transporter,13
courant,13
roller,13
