,0
économie,988
entreprise,709
économique,657
territoire,483
public,473
local,464
social,460
bien,456
ressource,452
développement,450
être,437
faire,420
nouveau,384
grand,360
service,359
production,340
produit,336
activité,329
consommation,326
exemple,321
etc,306
acteur,302
matière,301
projet,300
politique,295
modèle,294
permettre,285
besoin,284
mettre,274
pourcent,273
falloir,255
aujourd,255
hui,254
travail,253
question,250
enjeu,247
système,246
croissance,240
circulaire,239
société,235
marché,227
année,226
pouvoir,223
développer,218
eau,218
non,217
emploi,216
proximité,214
lyon,213
écologique,212
ville,212
énergie,206
impact,206
industriel,199
france,197
valeur,196
prendre,191
proposer,190
collectivité,185
transition,182
innovation,182
manière,181
réseau,180
agir,177
point,171
commerce,170
il,169
ensemble,167
terme,166
pays,161
part,159
monde,158
temps,158
secteur,157
place,156
objectif,155
environnemental,155
important,154
usage,154
compte,151
pratique,151
niveau,150
capacité,148
territorial,147
vie,147
an,146
passer,143
métropole,142
créer,139
voir,139
échelle,139
flux,138
alimentaire,138
personne,137
création,137
action,136
constituer,135
outil,134
produire,134
approche,134
savoir,134
devenir,134
dernier,132
partie,132
durable,131
mise,131
environnement,128
relation,128
démarche,125
venir,125
étude,124
sens,123
particulier,123
utiliser,121
beaucoup,121
forme,121
définition,121
concept,120
mondial,120
donner,120
rapport,119
ailleurs,117
évolution,116
état,116
intérêt,114
échange,114
fort,114
industrie,113
mesure,113
lyonnais,113
répondre,111
entreprendre,109
fois,109
cas,109
mode,107
comprendre,107
financier,107
cadre,107
espace,106
offrir,106
région,106
réduire,106
vous,106
humain,105
consommateur,105
demande,104
financement,104
solution,103
structure,102
stratégie,102
travailler,102
face,101
autant,101
revenu,101
ici,99
bon,99
travers,99
communauté,99
commercial,99
qualité,98
représenter,98
numérique,98
nombre,98
limite,97
petit,97
idée,97
logique,97
levier,96
richesse,96
européen,95
lieu,94
principe,94
urbain,94
critère,94
essentiel,94
moyen,94
collectif,94
fabrication,93
condition,93
plan,93
technique,92
national,92
rôle,92
vision,92
énergétique,91
bio,91
achat,90
trouver,90
commun,90
consister,89
nature,89
déchet,89
lien,88
naturel,88
impliquer,87
accompagner,87
transformation,87
type,87
risque,87
français,86
aller,86
changement,86
contribuer,86
domaine,86
compétence,85
davantage,85
réaliser,85
objet,85
recherche,85
entrepreneur,85
coût,85
long,84
vouloir,83
concerner,83
solidaire,83
écosystème,83
notion,83
technologie,82
cycle,82
mieux,82
exister,82
solidarité,81
association,81
actuel,81
côté,81
sein,80
viser,80
euro,80
prix,80
autour,79
général,79
vente,79
vue,78
collaboratif,78
europe,78
investissement,77
analyse,77
partir,76
gestion,76
largement,76
offre,76
habitant,76
global,76
chose,76
favoriser,76
consommer,75
fonction,75
dynamique,75
international,75
construire,75
lier,75
matériau,75
appuyer,75
circuit,74
contre,74
premier,74
porter,74
situation,74
dimension,73
devoir,73
réduction,73
matériel,73
appeler,72
agriculture,72
avoir,72
processus,72
ess,72
propre,72
base,71
client,71
considérer,71
recyclage,71
organisation,70
fin,70
ce,70
capital,70
réponse,70
